Location,MonthuClust,SatClust,SunClust,fclass,id,freq
1,1,1,1,primary,1,1
2,1,1,1,pedestrian,2,5
4,1,1,1,primary,4,1
5,1,1,1,primary,5,1
6,1,1,1,service,6,7
7,1,1,1,primary,7,1
8,1,1,1,primary,8,1
9,1,1,1,primary,9,1
11,1,1,1,primary,11,1
12,1,1,1,primary,12,1
13,1,1,1,primary,13,1
30,1,1,1,primary,30,1
53,1,1,1,service,53,7
57,1,1,1,primary,57,1
62,1,1,1,primary,62,1
67,1,1,1,pedestrian,67,5
78,1,1,1,service,78,7
86,1,1,3,primary,86,1
101,1,1,1,primary,101,1
102,1,1,1,primary,102,1
112,1,1,1,primary,112,1
133,1,1,1,pedestrian,133,5
138,1,1,1,pedestrian,138,5
145,1,1,1,primary,145,1
153,1,1,1,primary,153,1
162,1,3,2,primary,162,1
173,1,1,1,cycleway,173,4
174,1,1,1,primary,174,1
175,1,1,1,pedestrian,175,5
258,1,1,1,pedestrian,258,5
308,1,1,1,primary,308,1
310,1,1,1,primary,310,1
318,1,2,1,primary,318,1
337,1,1,1,primary,337,1
357,1,2,1,tertiary,357,3
358,1,1,1,residential,358,6
359,1,1,1,residential,359,6
401,1,2,1,residential,401,6
402,1,2,1,tertiary,402,3
420,1,1,1,primary,420,1
459,1,1,1,pedestrian,459,5
535,1,1,1,primary,535,1
546,1,1,1,primary,546,1
573,1,1,1,primary,573,1
574,1,1,1,primary,574,1
575,1,1,1,primary,575,1
584,1,1,1,tertiary,584,3
588,1,1,1,tertiary,588,3
594,1,1,1,cycleway,594,4
617,1,1,1,primary,617,1
705,1,1,1,primary,705,1
709,1,1,1,primary,709,1
710,1,1,1,primary,710,1
711,1,1,1,cycleway,711,4
736,1,1,1,secondary,736,2
737,1,1,1,primary,737,1
738,1,1,1,pedestrian,738,5
750,1,1,1,primary,750,1
778,1,1,3,primary,778,1
780,1,1,1,primary,780,1
789,1,1,3,primary,789,1
791,1,1,3,primary,791,1
792,1,1,1,primary,792,1
799,1,1,1,primary,799,1
800,1,1,1,tertiary,800,3
802,1,1,1,primary,802,1
813,1,1,3,unclassified,813,9
828,1,1,1,primary,828,1
831,1,1,1,primary,831,1
832,1,1,1,primary,832,1
846,1,1,1,tertiary,846,3
851,1,1,2,primary,851,1
872,1,1,1,primary,872,1
881,1,1,3,residential,881,6
882,1,1,1,pedestrian,882,5
883,1,1,1,pedestrian,883,5
921,1,1,1,primary,921,1
925,1,1,1,secondary,925,2
927,1,1,1,tertiary,927,3
931,1,1,1,tertiary,931,3
936,1,1,1,secondary,936,2
982,1,1,3,primary,982,1
995,1,1,3,primary,995,1
1011,1,1,3,secondary,1011,2
3,2,1,1,primary,3,1
15,4,2,3,footway,15,5
20,2,1,1,cycleway,20,4
36,2,1,1,pedestrian,36,5
87,2,1,1,pedestrian,87,5
97,2,1,3,trunk,97,8
99,2,1,1,unclassified,99,9
16,3,2,3,footway,16,5
17,4,2,3,footway,17,5
19,2,3,1,footway,19,5
28,3,2,3,footway,28,5
118,2,1,1,primary,118,1
35,5,1,1,footway,35,5
43,4,2,2,footway,43,5
46,4,2,3,footway,46,5
142,2,1,1,residential,142,6
54,3,2,3,footway,54,5
146,2,1,1,trunk,146,8
154,2,1,1,primary,154,1
155,2,1,1,primary,155,1
157,2,1,1,cycleway,157,4
55,3,1,2,footway,55,5
160,2,1,1,secondary,160,2
161,2,1,1,primary,161,1
73,4,2,3,footway,73,5
309,2,1,1,pedestrian,309,5
326,2,1,1,tertiary,326,3
328,2,1,1,primary,328,1
330,2,1,3,secondary,330,2
331,2,1,1,cycleway,331,4
335,2,1,1,primary,335,1
336,2,1,1,primary,336,1
338,2,1,1,primary,338,1
347,2,3,2,living_street,347,5
384,2,1,1,secondary,384,2
385,2,1,1,secondary,385,2
391,2,1,1,primary,391,1
397,2,1,1,primary,397,1
84,5,1,1,footway,84,5
429,2,2,3,pedestrian,429,5
430,2,1,1,secondary,430,2
95,5,1,1,footway,95,5
432,2,1,1,primary,432,1
433,2,1,1,secondary,433,2
442,2,1,1,service,442,7
444,2,1,2,primary,444,1
457,2,1,1,primary,457,1
460,2,1,1,trunk,460,8
463,2,1,1,pedestrian,463,5
98,5,1,3,footway,98,5
485,2,1,1,pedestrian,485,5
521,2,1,1,secondary,521,2
539,2,3,1,tertiary,539,3
106,2,1,1,footway,106,5
114,2,1,1,footway,114,5
577,2,3,1,unclassified,577,9
589,2,3,1,pedestrian,589,5
600,2,1,1,pedestrian,600,5
643,2,1,1,primary,643,1
707,2,1,1,pedestrian,707,5
115,2,1,1,footway,115,5
829,2,1,1,residential,829,6
840,2,3,1,pedestrian,840,5
116,2,1,1,footway,116,5
119,2,1,1,footway,119,5
855,2,1,1,pedestrian,855,5
120,2,1,1,footway,120,5
136,3,2,3,footway,136,5
140,2,1,1,footway,140,5
891,2,1,2,tertiary,891,3
926,2,1,1,unclassified,926,9
930,2,1,1,residential,930,6
141,3,2,3,footway,141,5
144,2,1,1,footway,144,5
10,3,1,2,residential,10,6
152,3,2,3,footway,152,5
158,2,1,1,footway,158,5
32,3,2,3,unclassified,32,9
38,3,2,3,pedestrian,38,5
40,3,2,3,secondary,40,2
45,3,1,1,primary,45,1
178,4,2,3,footway,178,5
187,6,2,3,footway,187,5
70,3,2,2,unclassified,70,9
76,3,2,3,service,76,7
92,3,2,3,pedestrian,92,5
107,3,2,1,pedestrian,107,5
123,3,2,1,pedestrian,123,5
130,3,2,3,cycleway,130,4
188,6,2,3,footway,188,5
226,4,2,3,footway,226,5
233,6,2,3,footway,233,5
