location,city,region,lat,lon,device,start_date,end_date
1,London,"Greater London",51.52021,-0.12275,83,27/10/2015,09/11/2016
2,London,"Greater London",51.51678,-0.12664,12,01/07/2015,14/02/2017
2,London,"Greater London",51.51678,-0.12664,1580,14/02/2017,13/10/2017
3,London,"Greater London",51.52128,-0.1237,50,03/12/2015,11/09/2016
3,London,"Greater London",51.52128,-0.1237,1032,11/09/2016,""
4,London,"Greater London",51.51757,-0.11992,657,31/03/2016,06/06/2016
5,London,"Greater London",51.49273,-0.22426,35,14/01/2016,15/06/2016
5,London,"Greater London",51.49273,-0.22426,687,15/06/2016,27/10/2016
5,London,"Greater London",51.49273,-0.22426,1671,27/10/2016,25/10/2017
5,London,"Greater London",51.49273,-0.22426,1780,25/10/2017,""
6,London,"Greater London",51.49215,-0.22356,58,14/01/2016,02/08/2016
6,London,"Greater London",51.49215,-0.22356,670,02/08/2016,27/10/2016
6,London,"Greater London",51.49215,-0.22356,1355,27/10/2016,""
7,London,"Greater London",51.49171,-0.22361,51,14/01/2016,02/08/2016
7,London,"Greater London",51.49171,-0.22361,720,02/08/2016,27/10/2016
7,London,"Greater London",51.49171,-0.22361,1342,27/10/2016,""
8,London,"Greater London",51.51806,-0.11111,36,21/08/2015,13/11/2015
9,London,"Greater London",51.51825,-0.11122,672,18/03/2016,17/08/2016
9,London,"Greater London",51.51825,-0.11122,1529,17/08/2016,10/08/2017
10,London,"Greater London",51.52329,-0.10053,100,12/11/2015,01/02/2017
10,London,"Greater London",51.52329,-0.10053,1183,01/02/2017,""
11,London,"Greater London",51.51684,-0.12749,686,18/03/2016,01/04/2016
11,London,"Greater London",51.51684,-0.12749,669,01/04/2016,17/05/2016
11,London,"Greater London",51.51684,-0.12749,718,17/05/2016,19/08/2016
11,London,"Greater London",51.51684,-0.12749,1534,19/08/2016,13/12/2016
11,London,"Greater London",51.51684,-0.12749,1097,13/12/2016,""
12,London,"Greater London",51.4934,-0.22403,10,01/07/2015,31/01/2018
13,London,"Greater London",51.51738,-0.12013,63,03/03/2016,07/04/2016
13,London,"Greater London",51.51738,-0.12013,106,07/04/2016,12/09/2016
13,London,"Greater London",51.51738,-0.12013,1018,12/09/2016,""
14,London,"Greater London",51.49333,-0.22425,5,13/10/2015,20/03/2016
15,York,"Yorkshire and the Humber",53.95697,-1.07959,737,01/03/2016,27/06/2016
15,York,"Yorkshire and the Humber",53.95697,-1.07959,901,27/06/2016,""
16,York,"Yorkshire and the Humber",53.95854,-1.07986,84,08/12/2015,28/06/2016
16,York,"Yorkshire and the Humber",53.95854,-1.07986,872,28/06/2016,""
17,York,"Yorkshire and the Humber",53.95735,-1.07995,740,01/03/2016,27/06/2016
17,York,"Yorkshire and the Humber",53.95735,-1.07995,791,27/06/2016,""
18,Reading,"South East",51.45281,-0.97052,45,23/09/2015,06/10/2016
18,Reading,"South East",51.45281,-0.97052,1370,06/10/2016,""
19,Oxford,"South East",51.75337,-1.26248,66,08/12/2015,27/01/2016
19,Oxford,"South East",51.75337,-1.26248,471,27/01/2016,03/08/2016
19,Oxford,"South East",51.75337,-1.26248,944,03/08/2016,""
20,Cambridge,"East Of England",52.20175,0.12523,47,12/12/2015,01/02/2016
20,Cambridge,"East Of England",52.20175,0.12523,468,01/02/2016,08/05/2016
20,Cambridge,"East Of England",52.20175,0.12523,468,08/05/2016,10/06/2016
20,Cambridge,"East Of England",52.20175,0.12523,794,10/06/2016,""
21,London,"Greater London",51.5036,-0.21888,19,23/09/2015,20/01/2015
22,London,"Greater London",51.52002,-0.12218,652,23/02/2016,29/03/2016
23,Manchester,"North West",53.48224,-2.24037,40,12/10/2015,20/11/2015
25,Leeds,"Yorkshire and the Humber",53.80169,-1.54492,81,08/10/2015,04/12/2016
27,Blackpool,"North West",53.81724,-3.05427,87,12/12/2015,04/07/2016
27,Blackpool,"North West",53.81724,-3.05427,829,04/07/2016,""
28,Norwich,"East Of England",52.62699,1.29432,49,16/10/2015,11/03/2016
28,Norwich,"East Of England",52.62699,1.29432,717,11/03/2016,18/06/2016
29,Leicester,"East Midlands",52.63654,-1.13319,85,07/12/2015,23/08/2016
29,Leicester,"East Midlands",52.63654,-1.13319,919,23/08/2016,15/05/2017
29,Leicester,"East Midlands",52.63654,-1.13319,1273,15/05/2017,""
30,London,"Greater London",51.56449,-0.13505,741,20/02/2016,07/04/2016
30,London,"Greater London",51.56449,-0.13505,673,07/04/2016,16/05/2016
30,London,"Greater London",51.56449,-0.13505,702,16/05/2016,07/06/2017
31,York,"Yorkshire and the Humber",53.95737,-1.07965,739,01/03/2016,27/06/2016
31,York,"Yorkshire and the Humber",53.95737,-1.07965,908,27/06/2016,13/09/2016
31,York,"Yorkshire and the Humber",53.95737,-1.07965,1639,13/09/2016,""
32,London,"Greater London",51.47238,-0.06955,29,24/09/2015,12/09/2016
34,Basingstoke,"South East",51.26469,-1.08486,1625,09/05/2017,""
35,Staines,"South East",51.43471,-0.51239,98,14/12/2015,25/08/2016
35,Staines,"South East",51.43471,-0.51239,1643,25/08/2016,""
36,London,"Greater London",51.46079,-0.01069,48,30/09/2015,18/06/2016
38,Croydon,"Greater London",51.37525,-0.1012,25,16/12/2015,24/08/2016
38,Croydon,"Greater London",51.37525,-0.1012,1646,24/08/2016,""
39,"Kingston Upon Thames","Greater London",51.41146,-0.3002,59,27/11/2015,23/03/2016
39,"Kingston Upon Thames","Greater London",51.41146,-0.3002,921,19/07/2016,""
40,London,"Greater London",51.53792,0.03406,15,02/08/2015,24/03/2017
41,Chelmsford,"East Of England",51.73122,0.47458,92,18/11/2015,26/02/2016
41,Chelmsford,"East Of England",51.73122,0.47458,915,26/08/2016,07/09/2017
