16.3 km,46
20.4 km,48
19.3 km,48
17.2 km,47
18.6 km,52
22.3 km,63
21.2 km,58
22.4 km,59
22.2 km,50
24.5 km,62
1 m,1
13.6 km,71
13.6 km,54
15.0 km,75
17.3 km,68
17.5 km,76
15.3 km,63
20.3 km,77
16.1 km,66
16.7 km,63
17.7 km,74
15.1 km,68
18.5 km,74
16.9 km,82
20.5 km,70
19.6 km,88
20.7 km,79
18.2 km,75
13.6 km,47
20.1 km,66
20.3 km,87
19.1 km,73
22.4 km,82
16.6 km,100
19.4 km,71
15.0 km,54
22.8 km,85
20.9 km,73
21.2 km,83
15.8 km,65
15.6 km,72
16.0 km,67
21.7 km,79
23.9 km,98
18.6 km,78
23.0 km,85
25.2 km,93
21.2 km,74
20.2 km,85
25.1 km,95
18.4 km,70
15.0 km,60
35.6 km,141
18.6 km,75
20.8 km,98
19.4 km,79
15.7 km,57
14.4 km,53
32.8 km,111
21.6 km,89
19.3 km,74
4.6 km,21
8.2 km,46
3.3 km,18
4.0 km,20
2.4 km,18
5.2 km,30
3.4 km,21
6.5 km,34
3.9 km,24
4.5 km,24
2.9 km,16
6.6 km,35
4.1 km,21
3.0 km,19
3.9 km,21
6.2 km,31
4.9 km,21
4.4 km,28
6.3 km,29
27.5 km,87
28.7 km,108
27.6 km,95
26.6 km,94
24.2 km,94
27.2 km,90
26.6 km,93
28.9 km,94
24.8 km,91
26.1 km,91
26.8 km,94
25.7 km,82
23.2 km,108
24.4 km,69
25.4 km,92
27.0 km,93
24.5 km,78
26.2 km,93
25.0 km,100
24.6 km,95
23.3 km,91
23.7 km,81
23.0 km,85
14.7 km,62
11.8 km,51
10.6 km,51
8.8 km,47
10.7 km,43
10.0 km,46
7.8 km,48
9.7 km,48
9.0 km,44
7.1 km,43
8.7 km,41
7.8 km,38
5.4 km,30
5.8 km,35
7.2 km,40
5.6 km,23
4.8 km,27
4.7 km,30
4.6 km,23
4.4 km,24
4.5 km,21
4.0 km,27
6.1 km,34
4.3 km,30
2.9 km,18
6.3 km,34
4.3 km,19
3.0 km,24
3.1 km,18
2.4 km,15
2.0 km,20
5.7 km,33
31.9 km,99
28.6 km,104
27.9 km,107
29.0 km,97
26.4 km,98
24.5 km,104
24.6 km,100
24.7 km,87
25.9 km,91
23.5 km,81
24.6 km,92
32.4 km,127
24.1 km,91
23.5 km,95
21.8 km,75
20.9 km,77
9.1 km,51
3.7 km,22
6.2 km,41
5.1 km,38
9.5 km,47
6.9 km,42
7.3 km,52
7.6 km,46
8.5 km,50
10.6 km,53
11.3 km,54
7.7 km,49
8.3 km,49
8.0 km,50
12.3 km,56
13.5 km,66
16.6 km,65
16.0 km,65
12.3 km,57
11.9 km,55
14.7 km,61
11.3 km,56
11.1 km,54
15.3 km,73
12.2 km,63
11.5 km,62
13.8 km,53
14.3 km,62
20.6 km,77
16.1 km,65
10.0 km,53
13.3 km,56
12.0 km,55
12.8 km,53
10.1 km,58
16.1 km,64
11.9 km,56
15.1 km,56
18.3 km,84
11.0 km,48
14.7 km,71
12.9 km,60
11.9 km,50
10.5 km,42
10.4 km,45
13.6 km,60
9.7 km,45
9.9 km,41
8.8 km,35
7.6 km,32
8.9 km,40
11.3 km,48
11.7 km,48
9.7 km,40
