23.1 km,89
20.4 km,85
17.8 km,73
18.8 km,71
17.1 km,70
20.2 km,83
15.7 km,67
16.4 km,66
14.3 km,58
17.4 km,65
15.0 km,59
13.8 km,57
15.4 km,73
15.0 km,59
17.2 km,74
15.7 km,67
18.1 km,79
16.9 km,80
19.3 km,87
15.0 km,59
18.7 km,70
17.9 km,64
15.4 km,70
34.0 km,131
18.0 km,70
19.6 km,74
18.1 km,68
19.9 km,75
18.6 km,63
20.4 km,69
22.2 km,101
21.7 km,84
22.4 km,80
24.0 km,95
21.0 km,68
14.9 km,58
11.6 km,42
15.3 km,60
8.8 km,37
18.3 km,61
13.6 km,46
10.4 km,44
9.9 km,39
13.4 km,63
11.2 km,47
10.2 km,50
10.6 km,44
11.9 km,47
13.2 km,54
14.0 km,58
11.5 km,46
10.3 km,53
9.4 km,46
12.0 km,46
12.6 km,48
10.8 km,52
10.7 km,49
14.1 km,56
12.0 km,55
7.6 km,38
8.5 km,36
11.8 km,51
12.8 km,57
9.6 km,39
10.4 km,43
11.0 km,45
10.1 km,46
13.7 km,58
11.9 km,47
12.9 km,53
13.1 km,50
11.0 km,51
23.8 km,96
24.4 km,89
19.9 km,69
19.2 km,72
22.7 km,96
22.3 km,76
15.5 km,61
17.8 km,67
14.4 km,52
20.7 km,70
17.0 km,77
16.2 km,58
18.3 km,71
15.0 km,73
20.2 km,72
21.4 km,77
18.5 km,70
18.1 km,73
