MSOA11CD,MSOA11NM,xcoord,ycoord
E02000001,City of London 001,-0.09213,51.51482
E02000002,Barking and Dagenham 001,0.13948,51.58827
E02000003,Barking and Dagenham 002,0.1409,51.57493
E02000004,Barking and Dagenham 003,0.17683,51.55548
E02000005,Barking and Dagenham 004,0.14332,51.56142
E02000007,Barking and Dagenham 006,0.15733,51.55809
E02000008,Barking and Dagenham 007,0.1353,51.55264
E02000009,Barking and Dagenham 008,0.11831,51.55157
E02000010,Barking and Dagenham 009,0.14837,51.54687
E02000011,Barking and Dagenham 010,0.16912,51.54529
E02000012,Barking and Dagenham 011,0.0988,51.54415
E02000013,Barking and Dagenham 012,0.12243,51.54338
E02000014,Barking and Dagenham 013,0.14404,51.54029
E02000015,Barking and Dagenham 014,0.16249,51.53704
E02000016,Barking and Dagenham 015,0.0754,51.53938
E02000017,Barking and Dagenham 016,0.08712,51.54046
E02000018,Barking and Dagenham 017,0.11176,51.53857
E02000019,Barking and Dagenham 018,0.13459,51.52879
E02000020,Barking and Dagenham 019,0.10465,51.5247
E02000021,Barking and Dagenham 020,0.15372,51.52458
E02000022,Barking and Dagenham 021,0.08019,51.5321
E02000023,Barking and Dagenham 022,0.11271,51.52786
E02000024,Barnet 001,-0.20276,51.65803
E02000025,Barnet 002,-0.18038,51.65515
E02000026,Barnet 003,-0.15593,51.64787
E02000027,Barnet 004,-0.20334,51.64538
E02000028,Barnet 005,-0.17793,51.64424
E02000029,Barnet 006,-0.16246,51.64247
E02000030,Barnet 007,-0.2278,51.63841
E02000031,Barnet 008,-0.17386,51.63277
E02000032,Barnet 009,-0.13988,51.63146
E02000033,Barnet 010,-0.14881,51.62634
E02000034,Barnet 011,-0.16578,51.62264
E02000035,Barnet 012,-0.1838,51.62202
E02000036,Barnet 013,-0.26322,51.62305
E02000037,Barnet 014,-0.28413,51.62868
E02000038,Barnet 015,-0.15514,51.61548
E02000039,Barnet 016,-0.24203,51.61537
E02000040,Barnet 017,-0.21787,51.61725
E02000041,Barnet 018,-0.27257,51.61348
E02000042,Barnet 019,-0.17794,51.6118
E02000043,Barnet 020,-0.19376,51.61398
E02000044,Barnet 021,-0.25393,51.61019
E02000045,Barnet 022,-0.15442,51.60623
E02000046,Barnet 023,-0.18859,51.60171
E02000047,Barnet 024,-0.26231,51.60268
E02000048,Barnet 025,-0.21862,51.60247
E02000049,Barnet 026,-0.24622,51.60216
E02000050,Barnet 027,-0.17165,51.60017
E02000051,Barnet 028,-0.19943,51.59415
E02000052,Barnet 029,-0.16888,51.59148
E02000053,Barnet 030,-0.24656,51.59335
E02000054,Barnet 031,-0.2314,51.59282
E02000055,Barnet 032,-0.22382,51.58785
E02000056,Barnet 033,-0.17782,51.58128
E02000057,Barnet 034,-0.21783,51.58294
E02000058,Barnet 035,-0.19499,51.58302
E02000059,Barnet 036,-0.24377,51.57859
E02000060,Barnet 037,-0.20769,51.57902
E02000061,Barnet 038,-0.19528,51.56988
E02000062,Barnet 039,-0.2219,51.56952
E02000063,Barnet 040,-0.21115,51.56616
E02000064,Barnet 041,-0.20233,51.56032
E02000065,Bexley 001,0.13615,51.503
E02000066,Bexley 002,0.13058,51.49353
E02000067,Bexley 003,0.15168,51.49379
E02000068,Bexley 004,0.16984,51.48868
E02000069,Bexley 005,0.15995,51.48267
E02000070,Bexley 006,0.13394,51.48154
E02000071,Bexley 007,0.15609,51.47438
E02000072,Bexley 008,0.19768,51.47133
E02000073,Bexley 009,0.12708,51.47198
E02000074,Bexley 010,0.17725,51.46885
E02000075,Bexley 011,0.1438,51.46901
E02000077,Bexley 013,0.11442,51.46771
E02000078,Bexley 014,0.1674,51.46547
E02000079,Bexley 015,0.13997,51.45871
E02000080,Bexley 016,0.10515,51.45951
E02000081,Bexley 017,0.15967,51.4562
E02000082,Bexley 018,0.08959,51.45861
E02000083,Bexley 019,0.18173,51.4526
E02000084,Bexley 020,0.12764,51.45271
E02000085,Bexley 021,0.11041,51.44845
E02000086,Bexley 022,0.09769,51.44427
