location,dummy
116_114,1
118_116,2
125_109,3
148_7,4
193_191,5
195_191,6
200_191,7
205_193,8
206_191,9
206_195,10
206_200,11
207_192,12
207_204,13
207_206,14
225_223,15
237_234,16
242_241,17
261_257,18
273_271,19
275_271,20
313_2,21
328_154,22
342_257,23
346_237,24
348_237,25
354_353,26
357_270,27
388_386,28
406_227,29
407_223,30
412_353,31
427_268,32
429_155,33
443_225,34
443_226,35
448_263,36
450_242,37
470_191,38
470_195,39
470_205,40
471_191,41
471_195,42
471_207,43
472_191,44
472_192,45
472_193,46
472_196,47
472_200,48
472_206,49
472_470,50
473_191,51
474_193,52
474_198,53
474_473,54
475_200,55
476_200,56
476_473,57
476_474,58
477_191,59
481_480,60
487_271,61
487_275,62
491_271,63
495_130,64
511_510,65
513_451,66
525_164,67
527_404,68
534_109,69
536_242,70
537_242,71
537_536,72
538_242,73
538_537,74
541_348,75
564_258,76
576_191,77
576_193,78
576_195,79
576_473,80
587_584,81
597_29,82
602_452,83
616_299,84
620_223,85
622_353,86
624_288,87
643_140,88
651_237,89
656_241,90
656_307,91
656_536,92
670_247,93
