location,s1,s2,oneT,twoT,threeT,fourT,hasdir,posMax
116_114,116,114,10.4109589,16.98630137,41.09589041,31.50684932,0,-1
118_116,118,116,23.01369863,12.87671233,35.06849315,29.04109589,0,-1
125_109,125,109,29.31506849,17.80821918,23.28767123,29.5890411,0,-1
148_7,148,7,2.465753425,18.63013699,40,38.90410959,0,-1
193_191,193,191,44.10958904,3.561643836,48.49315068,3.835616438,0,-1
195_191,195,191,46.84931507,3.01369863,49.04109589,1.095890411,0,-1
200_191,200,191,44.65753425,1.917808219,52.60273973,0.821917808,0,-1
205_193,205,193,21.91780822,15.34246575,34.24657534,28.49315068,0,-1
206_191,206,191,44.10958904,1.643835616,52.60273973,1.643835616,0,-1
206_195,206,195,29.8630137,16.71232877,30.4109589,23.01369863,0,-1
206_200,206,200,12.60273973,20.54794521,33.42465753,33.42465753,0,-1
207_192,207,192,44.38356164,7.671232877,13.15068493,34.79452055,0,-1
207_204,207,204,43.83561644,2.191780822,1.095890411,52.87671233,0,-1
207_206,207,206,43.83561644,1.643835616,0.821917808,53.69863014,0,-1
225_223,225,223,35.89041096,7.397260274,43.28767123,13.42465753,0,-1
237_234,237,234,24.65753425,11.23287671,34.52054795,29.5890411,0,-1
242_241,242,241,32.32876712,16.71232877,27.12328767,23.83561644,0,-1
261_257,261,257,39.45205479,8.493150685,40.2739726,11.78082192,0,-1
273_271,273,271,30.68493151,15.89041096,21.09589041,32.32876712,0,-1
275_271,275,271,20.82191781,19.45205479,33.15068493,26.57534247,0,-1
313_2,313,2,46.84931507,4.657534247,8.493150685,40,0,-1
328_154,328,154,49.5890411,0.273972603,0.547945205,49.5890411,0,-1
342_257,342,257,37.26027397,6.849315068,18.63013699,37.26027397,0,-1
346_237,346,237,38.63013699,4.383561644,15.89041096,41.09589041,0,-1
348_237,348,237,46.02739726,5.479452055,5.205479452,43.28767123,0,-1
354_353,354,353,24.10958904,9.315068493,37.53424658,29.04109589,0,-1
357_270,357,270,35.34246575,9.589041096,21.64383562,33.42465753,0,-1
388_386,388,386,34.79452055,14.24657534,15.89041096,35.06849315,0,-1
406_227,406,227,13.15068493,10.95890411,40.82191781,35.06849315,0,-1
407_223,407,223,32.60273973,7.397260274,24.38356164,35.61643836,0,-1
412_353,412,353,35.06849315,4.383561644,20.2739726,40.2739726,0,-1
427_268,427,268,36.16438356,9.315068493,9.863013699,44.65753425,0,-1
