s1,s2
6,5
7,5
7,6
12,7
12,6
45,43
46,45
46,43
47,45
47,46
47,43
53,12
53,5
53,7
53,6
54,45
54,47
54,43
62,7
62,53
62,5
62,12
78,7
78,53
78,12
78,5
84,2
84,11
102,57
106,11
106,2
106,84
113,112
114,113
115,113
115,114
116,114
116,115
117,114
117,115
118,117
118,115
118,116
125,98
125,109
130,123
131,108
137,136
145,113
145,144
146,116
146,117
146,113
146,115
148,12
148,5
148,6
148,7
148,78
148,53
153,152
157,148
165,164
168,166
175,174
178,176
186,39
186,182
187,38
192,191
193,191
193,192
194,193
195,191
195,192
196,191
196,192
197,191
197,192
198,195
198,196
198,197
198,193
198,192
199,195
199,196
199,197
199,193
199,192
200,191
200,198
200,192
203,195
203,196
203,197
203,200
203,193
203,192
204,195
204,196
204,197
204,200
204,193
204,192
205,200
205,193
205,198
205,203
205,204
206,191
206,205
206,193
206,200
206,195
206,196
206,197
207,198
207,203
207,204
207,191
207,206
207,192
212,134
212,103
212,109
219,218
225,223
226,225
235,234
236,234
236,235
237,235
237,234
241,240
242,241
243,218
243,219
249,247
249,248
251,248
251,250
254,27
259,258
260,259
260,257
261,259
261,258
261,257
263,259
263,260
263,261
263,257
267,195
267,196
267,197
267,200
267,207
267,193
267,205
267,192
268,45
268,46
268,47
268,54
270,118
270,117
270,116
270,146
270,114
270,115
272,271
273,272
273,271
274,271
274,272
275,272
275,271
275,274
278,276
281,279
282,116
282,118
282,119
286,76
288,287
291,287
295,290
298,297
299,290
299,295
300,125
300,212
303,290
303,295
304,106
304,125
304,111
305,241
305,242
306,305
306,241
307,241
307,306
307,305
307,242
313,2
314,140
314,141
318,221
318,222
318,18
318,316
320,124
321,221
321,222
321,18
321,316
324,155
325,182
326,99
328,154
329,39
329,186
331,330
333,12
333,157
333,5
333,148
334,166
334,168
337,330
340,339
342,260
342,257
342,263
343,260
343,342
343,261
343,263
343,257
346,235
346,237
346,234
347,234
347,235
348,234
348,235
348,236
348,237
350,349
352,351
354,353
357,116
357,118
357,115
357,126
357,282
357,270
358,115
358,116
358,117
358,146
358,114
366,365
370,369
375,19
376,19
380,378
380,376
381,378
381,376
381,380
386,385
388,387
388,386
389,387
389,386
397,396
400,170
400,171
403,163
404,164
406,227
407,226
407,225
407,223
408,226
408,225
408,223
409,387
409,389
409,394
409,388
410,281
411,353
411,354
412,354
412,353
412,411
415,413
415,414
419,417
426,268
426,54
426,47
426,46
427,268
427,54
427,47
427,43
427,46
428,427
428,45
428,426
428,43
428,46
428,268
428,54
429,324
429,155
436,435
437,409
437,394
439,334
439,168
440,350
440,349
441,288
442,378
442,376
442,381
442,380
443,226
443,225
443,223
444,163
447,334
447,168
447,439
448,263
448,257
448,261
