S1,S2,score
504,366,7.117676768
506,504,6.954198851
616,530,5.709054566
457,98,3.130702839
596,423,2.823571429
219,218,2.370976164
243,219,1.869982007
488,486,1.628895055
486,273,1.505053763
504,365,1.35841629
596,422,1.35218254
486,275,1.338387097
268,54,1.320744352
487,486,1.21
54,43,1.184799652
485,174,1.163829787
78,5,1.158762534
78,12,1.151143486
78,53,1.121143486
409,388,1.10952381
527,525,1.019937107
148,78,1.00002886
428,43,0.999047619
527,165,0.992164502
526,525,0.972748352
409,394,0.962802329
570,424,0.960460117
526,165,0.944975747
440,349,0.929738145
408,225,0.904521073
407,225,0.885555556
300,212,0.86623839
165,164,0.865
357,282,0.858360272
493,492,0.850909091
474,470,0.85
474,206,0.85
536,242,0.848993559
307,242,0.831956522
526,164,0.831599124
492,38,0.825606061
426,46,0.825485595
492,187,0.820606061
442,380,0.815714286
573,57,0.81058457
428,54,0.80974026
541,348,0.797477434
428,426,0.795769231
7,6,0.789616349
527,404,0.787916382
117,116,0.784851259
670,247,0.783898305
428,268,0.772439087
6,5,0.764714915
62,5,0.764714915
268,45,0.761658986
62,12,0.757095867
427,46,0.752527473
526,404,0.740727627
241,240,0.739252556
212,109,0.737849643
268,46,0.737043602
428,46,0.73030303
62,53,0.727095867
649,388,0.726755448
527,526,0.720381526
12,6,0.718618604
148,6,0.717886003
47,43,0.715531136
53,6,0.708611881
530,290,0.708606772
652,511,0.701428571
144,112,0.697089947
536,306,0.694729345
295,290,0.679215686
307,306,0.677692308
513,288,0.673269231
251,250,0.661315789
652,234,0.652860762
539,450,0.647664724
318,18,0.64047177
525,165,0.62757579
358,114,0.622894737
357,270,0.621081081
357,126,0.62
487,271,0.613339992
523,388,0.610606061
428,45,0.610454545
579,399,0.603034188
286,76,0.595001269
581,578,0.592417582
578,399,0.587161172
321,18,0.578894523
581,399,0.577186235
524,409,0.577037037
426,54,0.570512821
524,388,0.567692308
428,427,0.566666667
576,207,0.564051037
652,510,0.561951671
652,651,0.558163792
268,47,0.55739714
523,409,0.557272727
54,47,0.555527806
587,586,0.555454545
589,586,0.555454545
237,234,0.553897644
521,409,0.55
654,560,0.543148148
426,47,0.536062271
485,483,0.535
342,263,0.534450707
652,235,0.531881741
525,164,0.526831046
357,115,0.526666667
554,279,0.526640526
652,509,0.526497125
412,411,0.52457265
249,248,0.523098107
650,409,0.521281291
409,389,0.521212121
609,254,0.521207273
645,374,0.521066835
437,409,0.519387352
488,487,0.515266023
358,146,0.513803828
249,247,0.51
404,164,0.509949638
576,197,0.50764078
507,366,0.503333333
507,506,0.503333333
591,229,0.502886762
541,511,0.50026985
481,176,0.498743654
576,196,0.495233832
570,29,0.493636364
659,257,0.488266038
409,387,0.481666667
515,439,0.48011396
576,473,0.479498191
454,442,0.478571429
576,472,0.477592703
652,237,0.473406593
263,257,0.471117424
206,205,0.47
470,205,0.47
145,144,0.468888889
451,284,0.468143147
576,200,0.46775474
576,193,0.461967703
457,130,0.459047619
581,255,0.458571429
299,295,0.458571429
665,663,0.454744714
115,114,0.451764706
47,46,0.446786547
560,465,0.443518519
525,404,0.442613384
563,343,0.442083333
300,125,0.439422151
649,387,0.438478853
600,497,0.435316092
560,276,0.432992203
576,195,0.430717703
560,547,0.430103884
586,584,0.43
586,585,0.43
560,559,0.428402239
608,492,0.428131313
115,113,0.425098039
616,295,0.423757216
560,548,0.423518519
510,237,0.421796174
427,54,0.421666667
563,342,0.421373261
314,141,0.418846154
62,7,0.418065998
458,130,0.416904762
521,394,0.41452381
651,237,0.414220417
524,394,0.406666667
649,394,0.401897171
534,103,0.401695906
318,316,0.401688312
487,273,0.401666667
343,263,0.40162037
530,303,0.401312399
348,234,0.4
453,234,0.398252689
652,347,0.397137436
602,176,0.396679022
236,234,0.395652509
125,109,0.39359959
563,257,0.393333333
621,225,0.392625442
343,261,0.391231334
441,288,0.383227926
148,53,0.383157895
477,471,0.381053772
497,121,0.380586155
427,47,0.380549451
664,186,0.378407658
547,532,0.377429991
659,343,0.376196789
559,532,0.374026701
643,140,0.373333333
602,481,0.373217469
388,386,0.373137255
488,484,0.370323887
465,278,0.369259259
198,192,0.365257691
548,532,0.364259259
237,235,0.362128649
515,447,0.358529412
477,192,0.358326499
321,316,0.356776031
602,452,0.355923504
499,140,0.353333333
346,234,0.351852358
509,237,0.350887083
574,546,0.350769231
388,387,0.348333333
664,329,0.346957857
261,257,0.343893371
581,579,0.343333333
547,278,0.342429991
471,193,0.341834719
497,111,0.341394236
475,207,0.33974026
559,278,0.339026701
471,197,0.338501386
471,207,0.338501386
471,196,0.338501386
471,200,0.338501386
471,195,0.338501386
473,471,0.336999718
511,234,0.335550883
281,279,0.33554535
442,376,0.330714286
411,354,0.329385343
548,278,0.329259259
470,207,0.327835498
472,471,0.326999718
47,45,0.326938062
654,532,0.324259259
442,381,0.322751323
664,39,0.322751323
600,98,0.322727273
243,218,0.32
410,281,0.319760755
486,271,0.318809524
664,663,0.317936508
546,9,0.317762133
193,192,0.316494667
200,192,0.314272445
473,192,0.314272445
196,192,0.314272445
197,192,0.314272445
207,192,0.314272445
195,192,0.314272445
472,192,0.304272445
267,192,0.302294728
203,192,0.302294728
199,192,0.302294728
576,477,0.301929825
471,204,0.300992008
454,380,0.300714286
442,378,0.300714286
270,114,0.299189189
288,287,0.299118199
541,234,0.299108409
476,471,0.298737652
471,198,0.298733944
299,290,0.294629156
130,123,0.294444444
408,223,0.293798899
654,623,0.293544974
448,257,0.293252033
226,225,0.292833342
303,295,0.291904762
643,141,0.29
622,412,0.289516062
654,278,0.289259259
429,155,0.288405797
84,2,0.288247264
491,484,0.286774629
348,237,0.284835165
270,146,0.284189189
475,197,0.283330003
511,346,0.283246753
118,116,0.283132832
510,346,0.281310093
532,465,0.280185185
453,235,0.277273668
484,272,0.276245175
204,192,0.27601038
476,192,0.27601038
437,394,0.275
407,223,0.274833382
236,235,0.274288873
651,346,0.273734336
307,305,0.271746032
470,197,0.271425241
206,197,0.271425241
475,196,0.270923055
499,141,0.27
532,276,0.269658869
84,11,0.269556954
270,115,0.269189189
148,5,0.26873385
380,376,0.268496503
484,274,0.268201871
406,227,0.267034626
148,7,0.266511628
480,176,0.263987546
623,465,0.263756614
45,43,0.260714286
516,439,0.260434783
536,305,0.26
470,196,0.259018294
206,196,0.259018294
495,130,0.256358543
576,191,0.255230939
475,473,0.255187414
270,116,0.253473815
475,472,0.253281926
623,276,0.253230298
620,223,0.252792537
530,299,0.251312399
623,547,0.25034198
506,365,0.249650469
623,559,0.248640335
78,7,0.248513329
509,348,0.248087432
366,365,0.24747182
497,495,0.246666667
513,451,0.246071429
634,506,0.245953347
278,276,0.244658869
643,314,0.244102564
623,548,0.243756614
333,5,0.243654485
475,200,0.243443963
515,168,0.2425
537,242,0.241807268
576,470,0.240782638
576,206,0.240782638
499,314,0.240769231
556,318,0.239935065
343,257,0.239057239
46,43,0.2388833
475,193,0.237656926
560,532,0.236666667
453,347,0.235937645
