s1,s2,score,distance,cluster
426,43,96,83,1
443,226,100,100,1
473,472,100,100,1
487,486,106,106,1
527,526,119,97,1
538,537,125,125,1
426,268,126,113,1
321,318,139,82,1
117,116,146,73,1
604,489,150,75,1
472,207,158,79,1
587,586,166,111,1
589,586,166,111,1
144,112,168,73,1
504,365,174,131,1
454,376,176,88,1
472,197,180,90,1
477,200,182,91,1
562,448,182,91,1
328,154,186,93,1
54,46,194,75,2
569,349,196,78,2
235,234,196,87,2
437,394,196,92,2
54,45,200,100,2
125,98,200,100,2
131,108,200,100,2
146,115,200,100,2
146,113,200,100,2
333,157,200,100,2
340,339,200,100,2
472,196,200,100,2
472,193,200,100,2
472,200,200,100,2
493,187,200,100,2
513,287,200,100,2
554,281,200,100,2
555,251,200,100,2
557,222,200,100,2
558,222,200,100,2
558,221,200,100,2
605,604,200,100,2
624,284,200,100,2
648,390,200,100,2
491,484,200,122,2
477,193,202,101,2
491,271,204,152,2
538,450,205,135,2
464,136,213,113,2
623,532,225,125,2
670,247,229,96,2
243,218,230,110,2
491,272,233,95,2
145,144,236,91,2
620,408,237,104,2
429,155,244,107,2
458,123,245,100,2
557,556,250,100,2
442,381,257,88,2
664,39,257,88,2
528,464,263,104,2
343,263,263,127,2
642,639,264,100,2
618,27,264,114,2
477,472,266,101,2
477,470,266,112,2
477,206,266,112,2
509,234,266,122,2
453,346,269,96,2
620,407,270,115,2
352,351,278,111,3
605,488,278,126,3
536,306,279,111,3
659,261,280,118,3
556,222,283,111,3
620,223,283,116,3
12,5,284,71,3
242,241,284,128,3
306,241,284,128,3
624,451,285,181,3
428,54,286,98,3
537,536,286,116,3
343,257,288,114,3
427,43,290,110,3
537,306,290,119,3
523,386,292,246,3
436,435,293,101,3
602,480,293,169,3
558,556,294,122,3
664,663,294,197,3
148,5,296,127,3
524,409,304,122,3
491,274,304,123,3
656,306,306,173,3
656,536,307,170,3
148,12,312,156,3
602,481,317,117,3
565,219,317,139,3
484,272,326,113,3
501,500,326,113,3
578,255,326,113,3
659,263,328,114,3
526,164,331,113,3
442,380,332,113,3
303,290,334,117,3
579,255,334,117,3
270,116,335,136,3
656,241,336,255,3
454,381,338,146,3
525,164,340,180,3
53,7,342,107,3
295,290,342,131,3
358,115,342,196,3
515,334,345,127,3
538,306,348,244,3
560,532,349,137,3
538,536,349,241,3
488,273,352,126,3
488,275,352,126,3
443,223,353,132,3
621,443,354,127,3
516,334,356,128,3
453,237,356,152,3
408,226,358,129,3
596,423,361,95,3
443,225,362,154,3
329,186,363,137,3
53,12,364,182,3
452,176,370,154,4
307,306,371,157,4
451,288,371,183,4
268,46,376,179,4
538,241,378,326,4
536,242,379,129,4
581,399,379,166,4
407,226,380,140,4
427,268,380,140,4
541,236,380,140,4
78,5,385,143,4
272,271,386,143,4
46,45,388,144,4
84,11,388,144,4
450,242,389,158,4
263,257,390,133,4
537,242,390,137,4
576,477,392,137,4
600,457,394,147,4
118,116,399,140,4
53,5,400,100,4
574,9,400,100,4
106,11,400,200,4
114,113,400,200,4
146,117,400,200,4
187,38,400,200,4
260,259,400,200,4
305,241,400,200,4
400,170,400,200,4
415,413,400,200,4
415,414,400,200,4
419,417,400,200,4
440,350,400,200,4
524,521,400,200,4
551,415,400,200,4
552,419,400,200,4
603,602,400,200,4
605,489,400,200,4
607,520,400,200,4
611,540,400,200,4
622,411,400,200,4
602,176,403,139,4
