location,score,distance
243_219,232.5732821,359
219_218,221.2094325,269
409_394,147.7533772,302
236_234,147.7533772,373
504_366,138.1687714,209
541_511,128.8226499,391
596_423,128.8226499,95
665_663,119.7193468,401
457_98,119.7193468,232
236_235,119.7193468,251
600_497,119.7193468,312
541_348,110.863495,136
570_424,110.863495,367
357_126,110.863495,414
268_54,110.863495,220
526_404,110.863495,418
54_43,110.863495,245
506_504,110.863495,207
596_422,110.863495,123
488_487,102.2600621,253
237_234,102.2600621,342
451_284,102.2600621,277
411_354,93.9143935,356
212_109,93.9143935,331
53_6,93.9143935,283
270_146,93.9143935,337
12_6,93.9143935,201
348_237,93.9143935,380
148_6,93.9143935,257
78_12,93.9143935,172
357_270,93.9143935,251
148_7,93.9143935,268
300_212,93.9143935,321
148_78,93.9143935,228
62_12,93.9143935,201
541_234,93.9143935,357
270_114,93.9143935,237
6_5,85.83226203,172
268_47,85.83226203,254
509_348,85.83226203,361
62_5,85.83226203,172
526_165,85.83226203,368
573_57,85.83226203,229
645_374,85.83226203,229
78_5,85.83226203,143
440_349,85.83226203,272
78_53,85.83226203,222
527_404,85.83226203,333
62_53,85.83226203,251
516_439,78.01992899,223
525_404,78.01992899,287
515_447,78.01992899,334
513_284,78.01992899,336
477_471,78.01992899,402
524_394,78.01992899,287
480_176,78.01992899,260
241_240,78.01992899,459
554_279,78.01992899,201
622_412,78.01992899,298
497_495,78.01992899,271
148_53,78.01992899,163
616_530,78.01992899,319
534_103,78.01992899,392
441_288,78.01992899,381
357_282,78.01992899,304
477_192,78.01992899,413
525_165,78.01992899,288
547_532,70.48421723,334
439_334,70.48421723,392
509_237,70.48421723,387
471_197,70.48421723,265
471_207,70.48421723,265
471_196,70.48421723,265
426_46,70.48421723,293
471_200,70.48421723,265
125_109,70.48421723,243
409_388,70.48421723,147
47_46,70.48421723,252
7_6,70.48421723,283
251_250,70.48421723,335
427_46,70.48421723,288
559_532,70.48421723,338
357_115,70.48421723,314
471_193,70.48421723,255
574_546,70.48421723,213
521_394,70.48421723,143
651_237,70.48421723,311
237_235,70.48421723,352
548_532,70.48421723,352
598_355,70.48421723,314
268_45,70.48421723,314
270_115,70.48421723,137
471_204,70.48421723,315
471_195,70.48421723,265
539_450,70.48421723,332
510_237,70.48421723,309
412_411,70.48421723,107
47_43,70.48421723,241
471_198,70.48421723,322
200_192,63.23260105,276
473_192,63.23260105,276
