location,c1,c2,c3,c4,c5,c6,dist
475_195,1,0,0,3,0,0,244
652_651,2,0,0,3,0,0,194
534_300,1,0,0,2,0,0,268
389_386,1,0,0,2,0,0,278
547_532,3,0,0,1,0,0,334
388_386,1,0,0,2,0,0,235
288_287,3,0,0,1,0,0,400
6_5,2,0,0,4,0,0,172
659_562,1,0,0,1,0,0,314
270_117,1,0,0,2,0,0,172
516_439,1,0,0,1,0,1,223
474_204,1,0,0,2,0,0,252
555_248,1,0,0,1,0,0,146
306_305,1,0,0,1,0,0,300
439_334,1,0,0,1,0,1,392
268_47,1,0,0,4,0,0,254
307_305,1,0,0,2,0,0,178
207_204,1,0,0,2,0,0,293
206_195,1,0,0,2,0,0,208
477_470,1,0,0,1,0,0,112
509_237,2,0,0,4,0,0,387
321_222,1,0,1,1,0,0,334
295_290,1,0,0,2,0,0,131
541_348,1,0,1,2,0,0,136
366_365,2,0,0,1,0,0,177
275_271,1,0,0,1,0,0,300
507_366,1,0,0,3,0,0,332
274_271,2,0,0,1,0,0,258
321_18,1,0,1,2,0,0,298
538_537,2,0,0,0,0,0,125
200_192,1,0,0,4,0,0,276
54_46,1,0,0,1,0,0,75
658_108,1,0,0,3,0,0,338
463_136,1,0,0,0,0,0,300
411_354,1,0,0,1,0,1,356
509_348,1,0,1,2,0,0,361
473_192,1,0,0,4,0,0,276
620_223,1,0,0,2,0,0,116
472_192,1,0,0,4,0,0,376
243_219,1,0,0,8,0,0,359
524_388,1,0,0,2,0,0,258
450_306,1,0,0,1,0,0,176
137_136,2,0,0,0,0,0,213
407_226,1,0,0,1,0,0,140
473_203,1,0,0,2,0,0,300
510_347,2,0,1,1,0,0,371
329_39,1,0,0,2,0,0,243
260_259,1,0,0,0,0,0,200
261_259,2,0,0,1,0,0,309
278_276,2,0,0,1,0,0,203
267_205,2,0,0,2,0,0,279
212_109,1,0,0,4,0,0,331
381_376,1,0,0,1,0,0,246
536_305,1,0,0,2,0,0,215
537_305,1,0,0,1,0,0,400
380_376,1,0,0,2,0,0,301
298_297,1,0,0,2,0,0,244
409_394,1,0,0,7,0,0,302
526_525,1,0,0,4,0,0,249
527_525,1,0,0,3,0,0,164
491_273,1,0,0,1,0,0,252
649_437,2,0,1,1,0,0,221
193_191,2,0,0,2,0,0,320
192_191,1,0,1,2,0,0,248
282_116,2,0,0,1,0,0,380
511_234,1,0,0,3,0,0,255
576_195,1,0,0,3,0,0,197
623_532,2,0,0,0,0,0,125
558_222,1,0,0,0,0,0,100
635_440,1,0,0,1,0,0,279
429_324,1,0,0,1,0,0,325
515_168,1,0,0,2,0,0,266
53_7,1,0,1,0,0,0,107
656_307,2,0,0,1,0,0,216
569_349,1,0,0,1,0,0,78
656_242,1,0,0,2,0,0,151
428_426,1,0,0,3,0,0,231
495_457,1,0,0,2,0,0,217
654_532,3,0,0,1,0,0,352
473_472,1,0,0,0,0,0,100
538_307,2,0,0,1,0,0,287
203_197,2,0,0,2,0,0,320
538_242,1,0,0,2,0,0,222
437_394,1,0,0,1,0,0,92
636_520,1,0,0,0,0,0,200
62_5,2,0,0,4,0,0,172
652_237,1,0,0,3,0,0,189
525_404,1,0,0,5,0,0,287
563_257,1,0,0,2,0,0,366
470_197,2,0,0,2,0,0,234
471_197,1,0,0,4,0,0,265
528_136,2,0,0,1,0,0,262
536_450,1,0,0,2,0,0,176
515_447,1,0,0,1,0,1,334
106_11,1,0,0,0,0,0,200
458_123,1,0,0,1,0,0,100
470_207,2,0,0,2,0,0,223
471_207,1,0,0,4,0,0,265
602_452,2,0,1,1,0,0,156
343_342,1,0,0,2,0,0,158
597_266,1,0,0,2,0,0,338
318_316,1,0,1,2,0,0,313
530_303,1,0,0,4,0,0,384
470_196,2,0,0,2,0,0,239
337_330,1,0,0,3,0,0,328
