s1,s2,vals,quad,countq
6,5,0,2,19
6,5,0,3,1
6,5,1,2,165
6,5,2,2,63
6,5,2,3,3
6,5,3,3,1
7,5,0,2,18
7,5,1,2,48
7,5,2,2,179
7,5,2,3,4
7,5,3,3,1
7,6,0,2,8
7,6,1,2,33
7,6,2,1,1
7,6,2,2,203
7,6,2,3,4
7,6,3,2,1
7,6,3,3,1
12,5,0,2,10
12,5,1,2,38
12,5,1,3,1
12,5,2,2,176
12,5,2,3,3
12,6,0,2,6
12,6,1,2,31
12,6,2,1,1
12,6,2,2,187
12,6,2,3,4
12,7,0,2,18
12,7,1,2,120
12,7,1,3,3
12,7,2,1,1
12,7,2,2,84
12,7,2,3,1
45,43,0,2,5
45,43,1,2,12
45,43,2,2,190
45,43,2,3,3
46,43,0,2,15
46,43,1,2,61
46,43,2,2,128
46,43,2,3,4
46,43,3,2,18
46,43,3,3,1
46,45,0,2,14
46,45,1,2,153
46,45,1,3,1
46,45,2,2,26
46,45,2,3,1
46,45,3,2,13
46,45,3,3,1
47,43,0,2,14
47,43,0,3,1
47,43,1,2,58
47,43,2,2,133
47,43,2,3,2
47,43,3,2,13
47,43,3,3,2
47,45,0,2,8
47,45,1,2,155
47,45,1,3,1
47,45,2,2,16
47,45,3,2,28
47,45,3,3,2
47,46,0,2,11
47,46,0,3,1
47,46,1,2,79
47,46,1,3,1
47,46,2,2,78
47,46,2,3,2
47,46,3,2,49
47,46,3,3,1
53,5,0,2,14
53,5,1,2,96
53,5,2,2,137
53,5,2,3,4
53,5,3,3,1
53,6,0,2,10
53,6,1,2,45
53,6,1,3,1
53,6,2,1,1
53,6,2,2,191
53,6,2,3,3
53,6,3,2,1
53,6,3,3,1
53,7,0,2,10
53,7,1,1,1
53,7,1,2,178
53,7,1,3,3
53,7,2,2,55
53,7,2,3,1
53,7,3,2,2
53,7,3,3,1
53,12,0,1,1
53,12,0,2,14
53,12,1,2,136
53,12,1,3,1
53,12,2,2,73
53,12,2,3,3
53,12,3,2,1
54,43,0,2,11
54,43,1,2,158
54,43,1,3,2
54,43,2,2,40
54,43,2,3,3
54,43,3,2,2
54,45,0,2,2
54,45,0,3,1
54,45,1,2,192
54,45,1,3,2
54,45,2,2,1
54,46,0,2,6
54,46,1,2,180
54,46,1,3,3
54,46,2,2,17
54,46,2,3,2
54,46,3,2,6
54,47,0,2,9
54,47,1,2,177
54,47,1,3,3
54,47,2,2,15
54,47,2,3,1
54,47,3,2,4
54,47,3,3,1
62,5,0,2,9
62,5,0,3,1
62,5,1,2,30
62,5,1,3,2
62,5,2,2,118
62,5,2,3,1
62,5,3,3,1
62,7,0,2,7
62,7,1,2,70
62,7,1,3,4
62,7,2,1,1
62,7,2,2,78
62,7,3,3,1
62,12,0,2,8
62,12,0,3,1
62,12,1,1,1
62,12,1,2,64
62,12,1,3,2
62,12,2,2,68
62,12,2,3,1
62,53,0,2,3
62,53,1,2,47
62,53,1,3,2
62,53,2,1,1
62,53,2,2,107
62,53,2,3,3
78,5,0,2,16
78,5,1,2,78
78,5,2,2,152
78,5,2,3,5
78,7,0,2,24
78,7,1,2,153
78,7,1,3,4
78,7,2,1,1
78,7,2,2,67
78,7,3,3,1
78,12,0,2,11
78,12,1,2,167
78,12,1,3,4
78,12,2,1,1
78,12,2,2,45
78,53,0,2,15
78,53,1,2,108
78,53,1,3,3
78,53,2,1,1
78,53,2,2,123
78,53,2,3,1
78,53,3,3,1
84,2,0,2,5
84,2,1,2,55
84,2,2,2,81
84,2,3,2,1
84,11,0,2,11
84,11,1,2,91
84,11,1,3,3
84,11,2,2,122
84,11,2,3,2
102,57,0,2,15
102,57,1,2,52
102,57,1,3,1
102,57,2,2,142
102,57,2,3,1
106,2,0,2,1
106,2,1,2,69
106,2,2,2,4
106,11,0,2,1
106,11,1,2,84
106,11,2,2,1
106,84,1,2,86
106,84,2,2,2
113,112,0,2,18
113,112,1,1,1
113,112,1,2,90
113,112,1,3,3
113,112,2,2,125
113,112,2,3,1
114,113,0,2,6
114,113,1,2,55
114,113,1,3,1
114,113,2,1,1
114,113,2,2,173
114,113,2,3,3
115,113,0,2,19
115,113,1,2,90
115,113,1,3,1
115,113,2,2,102
115,113,2,3,2
115,114,0,2,16
115,114,0,3,1
115,114,1,2,157
115,114,1,3,3
115,114,2,2,45
116,114,0,2,16
116,114,1,2,103
116,114,2,1,1
116,114,2,2,108
116,114,2,3,1
116,115,0,2,19
116,115,1,2,49
116,115,2,2,145
116,115,2,3,1
117,114,0,2,9
117,114,1,2,39
117,114,1,3,1
117,114,2,1,1
117,114,2,2,170
117,114,2,3,1
117,115,0,2,2
117,115,1,2,18
117,115,1,3,1
117,115,2,2,180
117,115,2,3,1
117,116,0,2,9
117,116,1,1,1
117,116,1,2,27
117,116,1,3,1
117,116,2,2,172
118,115,0,2,10
118,115,0,3,1
118,115,1,2,45
118,115,2,2,135
118,115,2,3,3
118,115,3,2,1
118,116,0,2,14
118,116,1,2,140
118,116,1,3,1
118,116,2,2,43
118,116,3,2,1
118,117,0,2,9
118,117,1,2,150
118,117,2,2,28
118,117,2,3,2
125,98,0,2,5
125,98,1,1,1
125,98,1,2,98
125,98,1,3,2
125,98,2,2,91
125,98,3,2,6
125,109,0,2,13
125,109,1,2,75
125,109,2,2,93
125,109,3,2,1
130,123,0,2,11
130,123,1,2,63
130,123,2,2,104
130,123,3,2,8
130,123,3,3,1
131,108,0,2,1
131,108,1,2,2
131,108,2,2,39
137,136,0,2,12
137,136,1,2,101
137,136,1,3,1
137,136,2,2,52
137,136,2,3,1
137,136,3,2,9
137,136,3,3,1
144,112,0,2,21
144,112,1,1,1
144,112,1,2,118
144,112,1,3,3
144,112,2,2,86
144,112,2,3,2
145,113,0,2,18
145,113,1,1,1
145,113,1,2,75
145,113,1,3,1
145,113,2,2,132
145,113,2,3,3
145,144,0,2,13
145,144,1,2,20
145,144,1,3,1
145,144,2,1,1
145,144,2,2,184
145,144,2,3,4
146,113,0,2,10
146,113,1,2,43
146,113,2,2,168
146,113,2,3,4
146,115,0,2,6
146,115,1,2,51
146,115,1,3,1
146,115,2,2,164
146,115,2,3,3
146,116,0,2,15
146,116,1,2,118
146,116,1,3,1
146,116,2,2,89
146,117,0,2,12
146,117,1,2,158
146,117,1,3,1
146,117,2,2,38
146,117,2,3,1
148,5,0,2,5
148,5,1,2,12
148,5,2,2,225
148,5,2,3,4
148,5,3,2,3
148,5,3,3,1
148,6,0,2,9
148,6,1,2,16
148,6,2,1,1
148,6,2,2,220
148,6,2,3,4
148,6,3,3,1
148,7,0,1,1
148,7,0,2,18
148,7,0,3,1
148,7,1,2,58
148,7,1,3,2
148,7,2,2,156
148,7,2,3,2
148,7,3,2,11
148,12,0,2,16
148,12,1,2,46
148,12,1,3,2
148,12,2,1,1
148,12,2,2,160
148,12,2,3,2
148,53,0,2,9
148,53,1,2,38
148,53,1,3,2
148,53,2,1,1
148,53,2,2,197
148,53,2,3,2
148,53,3,2,1
148,53,3,3,1
148,78,0,2,6
148,78,0,3,2
148,78,1,1,1
148,78,1,2,16
148,78,2,2,222
148,78,2,3,3
153,152,0,2,41
153,152,1,2,39
153,152,1,3,2
153,152,2,1,1
153,152,2,2,159
153,152,2,3,2
153,152,3,2,7
153,152,3,3,1
157,148,0,2,16
157,148,1,2,100
157,148,1,3,2
157,148,2,1,1
157,148,2,2,110
157,148,2,3,2
157,148,3,2,17
157,148,3,3,1
165,164,0,2,15
165,164,0,3,1
165,164,1,2,54
165,164,2,2,120
165,164,2,3,1
165,164,3,2,10
168,166,0,2,8
168,166,1,2,7
168,166,2,2,163
168,166,2,3,5
168,166,3,2,4
175,174,0,2,5
175,174,1,2,61
175,174,2,2,37
175,174,3,2,1
178,176,0,2,9
178,176,1,1,1
178,176,1,2,46
178,176,1,3,2
178,176,2,2,20
178,176,3,2,73
178,176,3,3,2
186,39,0,2,8
186,39,1,2,194
186,39,1,3,3
186,39,2,2,13
186,39,2,3,2
186,182,0,2,19
186,182,1,2,117
186,182,2,1,1
186,182,2,2,73
186,182,2,3,2
186,182,3,2,23
186,182,3,3,2
187,38,0,2,11
187,38,1,2,61
187,38,2,2,66
187,38,2,3,3
187,38,3,1,1
187,38,3,2,95
187,38,3,3,2
192,191,0,2,1
192,191,1,2,16
192,191,2,2,42
192,191,3,2,81
193,191,1,2,40
193,191,2,2,8
193,191,3,2,93
193,192,0,2,4
193,192,0,3,1
193,192,1,2,89
193,192,1,3,1
193,192,2,2,12
193,192,3,2,119
193,192,3,3,3
194,193,0,2,2
194,193,1,2,8
194,193,2,2,3
194,193,3,2,7
195,191,0,2,1
195,191,1,2,47
195,191,2,2,9
195,191,3,2,78
195,192,0,2,3
195,192,1,2,67
195,192,1,3,3
195,192,2,2,13
195,192,2,3,1
195,192,3,2,91
195,192,3,3,1
196,191,0,2,3
196,191,1,2,61
196,191,2,2,4
196,191,3,2,73
196,192,0,2,5
196,192,1,2,110
196,192,1,3,1
196,192,2,2,11
196,192,3,2,90
196,192,3,3,4
197,191,0,2,1
197,191,1,2,28
197,191,2,2,37
197,191,3,2,75
197,192,0,2,2
197,192,0,3,1
197,192,1,2,48
197,192,2,2,58
197,192,2,3,3
197,192,3,2,114
197,192,3,3,1
198,192,0,2,2
198,192,0,3,2
198,192,1,2,145
198,192,2,2,7
198,192,2,3,1
198,192,3,2,71
198,192,3,3,2
198,193,0,2,6
198,193,1,2,72
198,193,2,2,20
198,193,2,3,2
198,193,3,1,1
198,193,3,2,142
198,193,3,3,3
198,195,0,2,7
198,195,1,2,78
198,195,1,3,1
198,195,2,2,4
198,195,2,3,3
198,195,3,2,83
198,195,3,3,1
198,196,0,2,7
198,196,1,2,84
198,196,1,3,2
198,196,2,2,29
198,196,2,3,1
198,196,3,2,98
198,196,3,3,2
198,197,0,2,1
198,197,1,2,157
198,197,1,3,2
198,197,2,2,1
198,197,2,3,1
198,197,3,2,62
198,197,3,3,2
199,192,1,2,27
199,192,3,2,17
199,193,0,2,2
199,193,1,2,1
