fclass,name,id,address,city,region,postcode
primary,Tottenham Court Road,853,"267 Tottenham Court Road, London, W1T 7RQ, Greater London",London,Greater London,W1T 7RQ
primary,Tottenham Court Road,106,"4 Oxford Street, London, W1D 1AL, Greater London",London,Greater London,W1D 1AL
primary,Tottenham Court Road,1005,"1 Tottenham Court Road, London, W1T 1BA, Greater London",London,Greater London,W1T 1BA
service,Alfred Street,442,"123 High Street, Oxford, OX1 4DF, South East",Oxford,South East,OX1 4DF
pedestrian,Market Street,454,"18 Cornmarket Street, Oxford, OX1 3EY, South East",Oxford,South East,OX1 3EY
unclassified,St Michael's Street,376,"36-37 Cornmarket Street, Oxford, OX1 3EZ, South East",Oxford,South East,OX1 3EZ
unclassified,Turl Street,442,"123 High Street, Oxford, OX1 4DF, South East",Oxford,South East,OX1 4DF
pedestrian,St Michael's Street,376,"36-37 Cornmarket Street, Oxford, OX1 3EZ, South East",Oxford,South East,OX1 3EZ
pedestrian,Bridge Street,276,"31-31 Bridge Street, Chester, CH1 1NG, North West",Chester,North West,CH1 1NG
pedestrian,Bridge Street,465,"19 Bridge Street Row East, Chester, CH1 1NW, North West",Chester,North West,CH1 1NW
pedestrian,Bridge Street,654,"42 Bridge Street, Chester, CH1 1NQ, North West",Chester,North West,CH1 1NQ
pedestrian,Bridge Street,461,"37 Bridge Street Row East, Chester, CH1 1NW, North West",Chester,North West,CH1 1NW
pedestrian,Bridge Street,548,"43-45 Bridge Street Row East, Chester, CH1 1NW, North West",Chester,North West,CH1 1NW
pedestrian,Bridge Street,547,"30 Bridge Street, Chester, CH1 1NQ, North West",Chester,North West,CH1 1NQ
primary,Pepper Street,869,"Grosvenor Shopping Centre, Pepper Street, Chester, CH1 1DF, North West",Chester,North West,CH1 1DF
pedestrian,Eastgate Street,623,"22-24 Eastgate Street, Chester, CH1 1LE, North West",Chester,North West,CH1 1LE
pedestrian,Eastgate Street,446,"11-13 Eastgate Street, Chester, CH1 1LG, North West",Chester,North West,CH1 1LG
pedestrian,Eastgate Street,560,"25 Eastgate Street, Chester, CH1 1LG, North West",Chester,North West,CH1 1LG
service,Saint John Street,532,"9 Foregate Street, Chester, CH1 1HD, North West",Chester,North West,CH1 1HD
pedestrian,Foregate Street,532,"9 Foregate Street, Chester, CH1 1HD, North West",Chester,North West,CH1 1HD
pedestrian,Foregate Street,533,"63-65 Foregate Street, Chester, CH1 1HD, North West",Chester,North West,CH1 1HD
primary,Foregate Street,277,"92 Foregate Street, Chester, CH1 1HB, North West",Chester,North West,CH1 1HB
residential,Canalside,834,"1 Russell Street, Chester, CH3 5AL, North West",Chester,North West,CH3 5AL
residential,Bridge Street,654,"42 Bridge Street, Chester, CH1 1NQ, North West",Chester,North West,CH1 1NQ
residential,Bridge Street,461,"37 Bridge Street Row East, Chester, CH1 1NW, North West",Chester,North West,CH1 1NW
primary,London Road,390,"1-3 London Road, Brighton, BN1 4JA, South East",Brighton,South East,BN1 4JA
