fclass,name,id,address,city,region,postcode
service,Grassmarket,893,"1 Grassmarket, Edinburgh, EH1 2HY, Scotland",Edinburgh,Scotland,EH1 2HY
tertiary,Princes Street,900,"30-31 Princes Street, Edinburgh, EH2 2BY, Scotland",Edinburgh,Scotland,EH2 2BY
unclassified,Princes Street,334,"87 Princes Street, Edinburgh, EH2 2ER, Scotland",Edinburgh,Scotland,EH2 2ER
unclassified,Princes Street,943,"80-81 Princes Street, Edinburgh, EH2 2ER, Scotland",Edinburgh,Scotland,EH2 2ER
unclassified,George Street,902,"90 George Street, Edinburgh, EH2 3DF, Scotland",Edinburgh,Scotland,EH2 3DF
unclassified,George Street,901,"89 George Street, Edinburgh, EH2 3ES, Scotland",Edinburgh,Scotland,EH2 3ES
primary,Nicolson Street,338,"116 Nicolson Street, Edinburgh, EH8 9EJ, Scotland",Edinburgh,Scotland,EH8 9EJ
primary,Nicolson Street,335,"120-122 Nicolson Street, Edinburgh, EH8 9EJ, Scotland",Edinburgh,Scotland,EH8 9EJ
tertiary,George IV Bridge,172,"25 George Iv Bridge, Edinburgh, EH1 1EN, Scotland",Edinburgh,Scotland,EH1 1EN
unclassified,West Bow,892,"99 West Bow, Edinburgh, EH1 2JP, Scotland",Edinburgh,Scotland,EH1 2JP
unclassified,George Street,439,"47 George Street, Edinburgh, EH2 2HT, Scotland",Edinburgh,Scotland,EH2 2HT
unclassified,George Street,447,"69 George Street, Edinburgh, EH2 2JG, Scotland",Edinburgh,Scotland,EH2 2JG
unclassified,George Street,341,"63-65 George Street, Edinburgh, EH2 2JL, Scotland",Edinburgh,Scotland,EH2 2JL
tertiary,Hanover Street,169,"34-36 Hanover Street, Edinburgh, EH2 2DR, Scotland",Edinburgh,Scotland,EH2 2DR
tertiary,Hanover Street,515,"14-16 Hanover Street, Edinburgh, EH2 2EN, Scotland",Edinburgh,Scotland,EH2 2EN
footway,,828,"Unit a, Station Road, South Queensferry, EH30 9JU, Scotland",South Queensferry,Scotland,EH30 9JU
pedestrian,Rose Street,168,"9-11 Frederick Street, Edinburgh, EH2 2EY, Scotland",Edinburgh,Scotland,EH2 2EY
pedestrian,Rose Street,903,"89 Rose Street, Edinburgh, EH2 3DT, Scotland",Edinburgh,Scotland,EH2 3DT
pedestrian,Rose Street,841,"Hanover Buildings, 66 Rose Street, Edinburgh, EH2 2NN, Scotland",Edinburgh,Scotland,EH2 2NN
pedestrian,Rose Street,896,"Unit 6, 76 Rose Street, Edinburgh, EH2 2NN, Scotland",Edinburgh,Scotland,EH2 2NN
pedestrian,Rose Street,167,"158-162 Rose Street, Edinburgh, EH2 3JD, Scotland",Edinburgh,Scotland,EH2 3JD
