id,address,city,region,postcode,lon,lng,descript_1,length
1,"69 Southampton Row, London, WC1B 4ET, Greater London",London,Greater London,WC1B 4ET,-0.12275,51.52021,A Road,113.66
2,"237 Shaftesbury Avenue, London, WC2H 8EH, Greater London",London,Greater London,WC2H 8EH,-0.12664,51.51678,A Road,30.03
3,"Unit 3, 150 Southampton Row, London, WC1B 5AL, Greater London",London,Greater London,WC1B 5AL,-0.1237,51.52128,A Road,82.5
4,"231 High Holborn, London, WC1V 7EG, Greater London",London,Greater London,WC1V 7EG,-0.11992,51.51757,A Road,72.79
8,"Holborn Bars, 3 Holborn, London, EC1N 2LL, Greater London",London,Greater London,EC1N 2LL,-0.11111,51.51806,A Road,45.86
9,"4 Gray's Inn Road, London, WC1X 8HG, Greater London",London,Greater London,WC1X 8HG,-0.11122,51.51825,A Road,45.86
11,"76 New Oxford Street, London, WC1A 1EU, Greater London",London,Greater London,WC1A 1EU,-0.12749,51.51684,A Road,47.84
12,"18 Hammersmith Broadway, London, W6 7AB, Greater London",London,Greater London,W6 7AB,-0.22403,51.4934,A Road,66.96
13,"Holborn Underground Station, 88-94 Kingsway, London, WC2B 6AA, Greater London",London,Greater London,WC2B 6AA,-0.12013,51.51738,A Road,15.68
14,"Unit 2, 22-26 Hammersmith Broadway, London, W6 7AB, Greater London",London,Greater London,W6 7AB,-0.22425,51.49333,A Road,66.96
22,"92 Southampton Row, London, WC1B 4BH, Greater London",London,Greater London,WC1B 4BH,-0.12218,51.52002,A Road,65.78
30,"28 Junction Road, London, N19 5RF, Greater London",London,Greater London,N19 5RF,-0.13505,51.56449,A Road,79.69
47,"4 Manor Walk, Market Harborough, LE16 9BP, East Midlands",Market Harborough,East Midlands,LE16 9BP,-0.92211,52.47748,A Road,116.79
54,"12 The Square, Market Harborough, LE16 7PA, East Midlands",Market Harborough,East Midlands,LE16 7PA,-0.92009,52.47776,A Road,70.03
67,"2-6 Sicilian Avenue, London, WC1A 2QH, Greater London",London,Greater London,WC1A 2QH,-0.12102,51.51843,A Road,104.92
83,"Central St. Giles, 1a St. Giles High Street, London, WC2H 8AG, Greater London",London,Greater London,WC2H 8AG,-0.12672,51.51587,A Road,50.7
86,"Central St. Giles, 5 St. Giles High Street, London, WC2H 8AG, Greater London",London,Greater London,WC2H 8AG,-0.12785,51.51564,A Road,71.27
97,"33-39 Tooting High Street, London, SW17 0SP, Greater London",London,Greater London,SW17 0SP,-0.16697,51.4288,A Road,117.6
100,"231 High Holborn, London, WC1V 7EG, Greater London",London,Greater London,WC1V 7EG,-0.11992,51.51757,A Road,72.79
101,"Holborn Underground Station, 88-94 Kingsway, London, WC2B 6AA, Greater London",London,Greater London,WC2B 6AA,-0.12013,51.51738,A Road,15.68
102,"231 High Holborn, London, WC1V 7EG, Greater London",London,Greater London,WC1V 7EG,-0.11992,51.51757,A Road,72.79
105,"Unit 2, 22-26 Hammersmith Broadway, London, W6 7AB, Greater London",London,Greater London,W6 7AB,-0.22425,51.49333,A Road,66.96
106,"4 Oxford Street, London, W1D 1AL, Greater London",London,Greater London,W1D 1AL,-0.13053,51.51646,A Road,19.19
110,"262 Oxford Street, London, W1C 1DE, Greater London",London,Greater London,W1C 1DE,-0.14351,51.51515,A Road,113.2
112,"Unit 1-2, Tigris House, 256 Edgware Road, London, W2 1DS, Greater London",London,Greater London,W2 1DS,-0.16888,51.51926,A Road,5.83
115,"45-47 Edgware Road, London, W2 2EG, Greater London",London,Greater London,W2 2EG,-0.16315,51.51506,A Road,49.55
116,"36-40 Edgware Road, London, W2 2EH, Greater London",London,Greater London,W2 2EH,-0.16169,51.5144,A Road,91.18
117,"21 Edgware Road, London, W2 2JE, Greater London",London,Greater London,W2 2JE,-0.16221,51.51444,A Road,91.18
120,"353 Oxford Street, London, W1C 2JG, Greater London",London,Greater London,W1C 2JG,-0.14795,51.51444,A Road,157.53
124,"53-54 Tottenham Court Road, London, W1T 2EQ, Greater London",London,Greater London,W1T 2EQ,-0.13347,51.5196,A Road,113.99
129,"167 Piccadilly, London, W1J 9EG, Greater London",London,Greater London,W1J 9EG,-0.13996,51.50796,A Road,50.03
131,"Unit 4, The Qube, 101-106 Tottenham Court Road, London, W1T 4EZ, Greater London",London,Greater London,W1T 4EZ,-0.13664,51.5228,A Road,90.21
132,"313 Regent Street, London, W1B 2HP, Greater London",London,Greater London,W1B 2HP,-0.14285,51.51703,A Road,32.43
133,"460 Strand, London, WC2R 0RG, Greater London",London,Greater London,WC2R 0RG,-0.12624,51.50818,A Road,113.91
138,"13 Islington High Street, London, N1 9LQ, Greater London",London,Greater London,N1 9LQ,-0.10632,51.53239,A Road,67.93
139,"4-5 Upper Street, London, N1 0PQ, Greater London",London,Greater London,N1 0PQ,-0.10582,51.53374,A Road,159.2
142,"146 Marylebone Road, London, NW1 5PH, Greater London",London,Greater London,NW1 5PH,-0.15845,51.52202,A Road,149.17
144,"225 Edgware Road, London, W2 1JU, Greater London",London,Greater London,W2 1JU,-0.16949,51.51938,A Road,67.89
145,"258 Edgware Road, London, W2 1DU, Greater London",London,Greater London,W2 1DU,-0.16917,51.51949,A Road,85.25
146,"95 Edgware Road, London, W2 2HX, Greater London",London,Greater London,W2 2HX,-0.16447,51.51611,A Road,144.99
148,"6a King Street, London, W6 0QA, Greater London",London,Greater London,W6 0QA,-0.22552,51.49301,A Road,255.74
152,"147 Victoria Street, London, SW1E 5NH, Greater London",London,Greater London,SW1E 5NH,-0.13991,51.4968,A Road,66.09
153,"97 Buckingham Palace Road, London, SW1W 0RP, Greater London",London,Greater London,SW1W 0RP,-0.14484,51.49643,A Road,98.63
155,"69 King's Road, London, SW3 4NT, Greater London",London,Greater London,SW3 4NT,-0.16383,51.48932,A Road,43.41
157,"100 King Street, London, W6 0QW, Greater London",London,Greater London,W6 0QW,-0.23038,51.49264,A Road,33.01
158,"231-245 Chiswick High Road, London, W4 4PU, Greater London",London,Greater London,W4 4PU,-0.26061,51.49239,A Road,60.79
161,"80 Kensington High Street, London, W8 4SG, Greater London",London,Greater London,W8 4SG,-0.19136,51.50181,A Road,38.43
162,"23-24 St. Augustines Parade, Bristol, BS1 4UL, South West",Bristol,South West,BS1 4UL,-2.59791,51.45367,A Road,90.54
163,"57 Queens Road, Bristol, BS8 1QL, South West",Bristol,South West,BS8 1QL,-2.60655,51.45646,A Road,101.4
166,"120 Princes Street, Edinburgh, EH2 4AD, Scotland",Edinburgh,Scotland,EH2 4AD,-3.20355,55.95093,A Road,410.94
173,"2 London Bridge Walk, London, SE1 2SX, Greater London",London,Greater London,SE1 2SX,-0.08767,51.50613,A Road,118.41
174,"186 Tooley Street, London, SE1 2TZ, Greater London",London,Greater London,SE1 2TZ,-0.0794,51.50321,A Road,34.88
175,"90 Tooley Street, London, SE1 2TH, Greater London",London,Greater London,SE1 2TH,-0.08301,51.50446,A Road,36.53
212,"93 Charing Cross Road, London, WC2H 0DP, Greater London",London,Greater London,WC2H 0DP,-0.12932,51.51326,A Road,21.98
231,"25 North Bridge, Edinburgh, EH1 1SB, Scotland",Edinburgh,Scotland,EH1 1SB,-3.18753,55.95031,A Road,51.19
232,"46 North Bridge, Edinburgh, EH1 1QN, Scotland",Edinburgh,Scotland,EH1 1QN,-3.18762,55.95029,A Road,51.19
246,"Fishergate Point, Lower Parliament Street, Nottingham, NG1 3DB, East Midlands",Nottingham,East Midlands,NG1 3DB,-1.13911,52.95063,A Road,50.94
256,"43 Shirley High Street, Southampton, SO15 3NN, South East",Southampton,South East,SO15 3NN,-1.43281,50.92192,A Road,112.16
277,"92 Foregate Street, Chester, CH1 1HB, North West",Chester,North West,CH1 1HB,-2.88422,53.19154,A Road,135.62
282,"522 Oxford Street, London, W1C 1LL, Greater London",London,Greater London,W1C 1LL,-0.15714,51.5137,A Road,81.08
283,"83 Oxford Street, Manchester, M1 6EG, North West",Manchester,North West,M1 6EG,-2.24163,53.47534,A Road,122.3
285,"87 Deansgate, Manchester, M3 2BW, North West",Manchester,North West,M3 2BW,-2.24701,53.48208,A Road,76.28
304,"104-106 Oxford Street, London, W1D 1LP, Greater London",London,Greater London,W1D 1LP,-0.13536,51.51598,A Road,88.03
308,"160 Kentish Town Road, London, NW5 2AG, Greater London",London,Greater London,NW5 2AG,-0.14155,51.54686,A Road,90.09
310,"166 Kentish Town Road, London, NW5 2AG, Greater London",London,Greater London,NW5 2AG,-0.14151,51.54699,A Road,90.09
312,"29 Islington High Street, London, N1 9LH, Greater London",London,Greater London,N1 9LH,-0.1063,51.53292,A Road,26.57
314,"89 Camden High Street, London, NW1 7JL, Greater London",London,Greater London,NW1 7JL,-0.14077,51.53664,A Road,105.98
317,"12 Bloomsbury Street, London, WC1B 3QA, Greater London",London,Greater London,WC1B 3QA,-0.12722,51.51743,A Road,58.68
328,"432 King's Road, London, SW10 0LR, Greater London",London,Greater London,SW10 0LR,-0.17764,51.48305,A Road,72.99
333,"87 King Street, London, W6 9HW, Greater London",London,Greater London,W6 9HW,-0.22861,51.49247,A Road,48.51
334,"87 Princes Street, Edinburgh, EH2 2ER, Scotland",Edinburgh,Scotland,EH2 2ER,-3.19814,55.95197,A Road,169.3
335,"120-122 Nicolson Street, Edinburgh, EH8 9EJ, Scotland",Edinburgh,Scotland,EH8 9EJ,-3.18355,55.94413,A Road,148.47
336,"104 Kensington High Street, London, W8 4SG, Greater London",London,Greater London,W8 4SG,-0.19214,51.50153,A Road,43.53
337,"34 New Broadway, London, W5 2XA, Greater London",London,Greater London,W5 2XA,-0.30674,51.51298,A Road,74.81
338,"116 Nicolson Street, Edinburgh, EH8 9EJ, Scotland",Edinburgh,Scotland,EH8 9EJ,-3.18372,55.94436,A Road,148.47
353,"37-39 Fore Street, Taunton, TA1 1HR, South West",Taunton,South West,TA1 1HR,-3.10243,51.01471,A Road,109.63
361,"131 Union Street, Aberdeen, AB11 6BH, Scotland",Aberdeen,Scotland,AB11 6BH,-2.0999,57.14615,A Road,59.03
379,"12 High Street, Oxford, OX1 4DB, South East",Oxford,South East,OX1 4DB,-1.25685,51.75219,A Road,125.94
381,"6-7 High Street, Oxford, OX1 4AD, South East",Oxford,South East,OX1 4AD,-1.2571,51.75214,A Road,125.94
387,"West Street, Brighton, BN1 2RE, South East",Brighton,South East,BN1 2RE,-0.14473,50.8211,A Road,76.26
390,"1-3 London Road, Brighton, BN1 4JA, South East",Brighton,South East,BN1 4JA,-0.1359,50.82958,A Road,18.58
391,"13 London Road, Brighton, BN1 4JA, South East",Brighton,South East,BN1 4JA,-0.13614,50.83031,A Road,69.12
396,"76-78 Shirley High Street, Southampton, SO15 3NE, South East",Southampton,South East,SO15 3NE,-1.43386,50.92246,A Road,66.84
397,"Oakhill House, 2-6 Romsey Road, Southampton, SO16 4BZ, South East",Southampton,South East,SO16 4BZ,-1.43573,50.92389,A Road,80.56
403,"1 Queens Road, Bristol, BS8 1QE, South West",Bristol,South West,BS8 1QE,-2.60455,51.45565,A Road,13.18
412,"1 North Street, Taunton, TA1 1LH, South West",Taunton,South West,TA1 1LH,-3.10309,51.01527,A Road,133.35
420,"98a Whiteladies Road, Bristol, BS8 2QY, South West",Bristol,South West,BS8 2QY,-2.61256,51.46733,A Road,18.48
428,"5 Coventry Road, Market Harborough, LE16 9BX, East Midlands",Market Harborough,East Midlands,LE16 9BX,-0.92115,52.4778,A Road,70.03
429,"126 King's Road, London, SW3 4TR, Greater London",London,Greater London,SW3 4TR,-0.16318,51.48991,A Road,81.33
442,"123 High Street, Oxford, OX1 4DF, South East",Oxford,South East,OX1 4DF,-1.25593,51.75217,A Road,76.9
444,"86 Park Street, Bristol, BS1 5LA, South West",Bristol,South West,BS1 5LA,-2.60397,51.45555,A Road,67
457,"178-180 Regent Street, London, W1B 5TW, Greater London",London,Greater London,W1B 5TW,-0.13977,51.51243,A Road,137.88
459,"35-38 Sloane Gardens, London, SW1W 8DL, Greater London",London,Greater London,SW1W 8DL,-0.15687,51.49237,A Road,18.15
460,"31 Brompton Road, London, SW3 1ED, Greater London",London,Greater London,SW3 1ED,-0.16127,51.50126,A Road,74.88
478,"Holborn Underground Station, Kingsway, London, WC2B 6AA, Greater London",London,Greater London,WC2B 6AA,-0.12034,51.51759,A Road,22.94
496,"316-318 Regent Street, London, W1B 3AY, Greater London",London,Greater London,W1B 3AY,-0.14251,51.51688,A Road,32.43
497,"201 Oxford Street, London, W1D 2LE, Greater London",London,Greater London,W1D 2LE,-0.13955,51.5154,A Road,138.49
500,"74 High Road, London, N22 6HL, Greater London",London,Greater London,N22 6HL,-0.10616,51.59283,A Road,133.4
501,"Unit 1, The Mall Wood Green, High Road, London, N22 6HE, Greater London",London,Greater London,N22 6HE,-0.10717,51.59359,A Road,133.4
512,"200 Deansgate, Manchester, M3 3NN, North West",Manchester,North West,M3 3NN,-2.24968,53.47841,A Road,98.35
520,"159 Union Street, Aberdeen, AB11 6BB, Scotland",Aberdeen,Scotland,AB11 6BB,-2.10194,57.14559,A Road,62.17
525,"34-38 Bond Street, Bristol, BS1 3LX, South West",Bristol,South West,BS1 3LX,-2.58852,51.45917,A Road,161.93
535,"34 New Oxford Street, London, WC1A 1AP, Greater London",London,Greater London,WC1A 1AP,-0.12522,51.51728,A Road,59.82
541,"Unit 3, The Corner House, South Sherwood Street, Nottingham, NG1 4DB, East Midlands",Nottingham,East Midlands,NG1 4DB,-1.15085,52.95569,A Road,67.83
546,"10-11 Holborn, London, EC1N 2LL, Greater London",London,Greater London,EC1N 2LL,-0.11052,51.51788,A Road,21.38
571,"227 Finchley Road, London, NW3 6LP, Greater London",London,Greater London,NW3 6LP,-0.17983,51.5471,A Road,16.72
572,"1-5 Boroughgate, Otley, LS21 3AG, Yorkshire and the Humber",Otley,Yorkshire and the Humber,LS21 3AG,-1.69333,53.90562,A Road,77.03
573,"77 Kingsway, London, WC2B 6SR, Greater London",London,Greater London,WC2B 6SR,-0.11949,51.516,A Road,93.11
574,"29-30 High Holborn, London, WC1V 6AZ, Greater London",London,Greater London,WC1V 6AZ,-0.1132,51.51835,A Road,61.23
607,"202 Union Street, Aberdeen, AB10 1QS, Scotland",Aberdeen,Scotland,AB10 1QS,-2.10509,57.14491,A Road,57.32
615,"40 High Street North, Dunstable, LU6 1LA, East Of England",Dunstable,East Of England,LU6 1LA,-0.52238,51.88728,A Road,220.95
625,"73-77 Euston Road, London, NW1 2QS, Greater London",London,Greater London,NW1 2QS,-0.1262,51.52891,A Road,34.82
626,"137 Gloucester Place, London, NW1 5AL, Greater London",London,Greater London,NW1 5AL,-0.1601,51.52237,A Road,52.5
627,"108a Tottenham Court Road, London, W1T 5AA, Greater London",London,Greater London,W1T 5AA,-0.13681,51.52301,A Road,40.5
629,"88 Gracechurch Street, London, EC3V 0DN, Greater London",London,Greater London,EC3V 0DN,-0.08435,51.51287,A Road,35.69
630,"66 Cranbrook Road, Ilford, IG1 4NH, Greater London",Ilford,Greater London,IG1 4NH,0.06971,51.56058,A Road,150.45
636,"121 Union Street, Aberdeen, AB11 6BH, Scotland",Aberdeen,Scotland,AB11 6BH,-2.09929,57.14624,A Road,55.9
639,"163 High Street, London, SE20 7DS, Greater London",London,Greater London,SE20 7DS,-0.05191,51.41444,A Road,174.23
640,"84 High Street, London, SE20 7HB, Greater London",London,Greater London,SE20 7HB,-0.05457,51.41595,A Road,92.3
641,"132 High Street, London, SE20 7EU, Greater London",London,Greater London,SE20 7EU,-0.05226,51.41446,A Road,174.23
642,"45 Green Lane, London, SE20 7JX, Greater London",London,Greater London,SE20 7JX,-0.05119,51.41402,A Road,77.24
643,"Plaza House, 199 Camden High Street, London, NW1 7BT, Greater London",London,Greater London,NW1 7BT,-0.14307,51.53927,A Road,103.45
648,"19-20 London Road, Brighton, BN1 4JB, South East",Brighton,South East,BN1 4JB,-0.13625,50.83074,A Road,33.02
671,"45 Monument Street, London, EC3R 8BU, Greater London",London,Greater London,EC3R 8BU,-0.08408,51.5095,A Road,363.65
681,"1 Blackfriars Bridge, London, SE1 9UD, Greater London",London,Greater London,SE1 9UD,-0.10435,51.50857,A Road,321.61
683,"91-92 Strand, London, WC2R 0DW, Greater London",London,Greater London,WC2R 0DW,-0.12128,51.51039,A Road,126.05
686,"291 Greenwich High Road, London, SE10 8NA, Greater London",London,Greater London,SE10 8NA,-0.00965,51.48005,A Road,129.25
696,"1 Camden High Street, London, NW1 7JE, Greater London",London,Greater London,NW1 7JE,-0.13924,51.53455,A Road,16.28
700,"245-247 Baker Street, London, NW1 6XE, Greater London",London,Greater London,NW1 6XE,-0.15854,51.52404,A Road,19.99
710,"275 Regent Street, London, W1B 2HB, Greater London",London,Greater London,W1B 2HB,-0.14242,51.51599,A Road,72.46
713,"27 Tottenham Court Road, London, W1T 1BJ, Greater London",London,Greater London,W1T 1BJ,-0.13239,51.51857,A Road,28.84
734,"Unit 1, 109-115 Blackfriars Road, London, SE1 8HW, Greater London",London,Greater London,SE1 8HW,-0.10466,51.50119,A Road,15.67
741,"289-293 Regent Street, London, W1B 2HJ, Greater London",London,Greater London,W1B 2HJ,-0.1427,51.51663,A Road,18.74
750,"Unit 2, 284-302 Waterloo Road, London, SE1 8RQ, Greater London",London,Greater London,SE1 8RQ,-0.10603,51.49885,A Road,20.69
755,"1 Wellington Terrace, London, W2 4LW, Greater London",London,Greater London,W2 4LW,-0.19227,51.50993,A Road,27.53
759,"55 Brompton Road, London, SW3 1DP, Greater London",London,Greater London,SW3 1DP,-0.16197,51.50079,A Road,39.53
764,"106-107 Houndsditch, London, EC3A 7BD, Greater London",London,Greater London,EC3A 7BD,-0.07939,51.51586,A Road,33.24
765,"13-14 Byward Street, London, EC3R 5BA, Greater London",London,Greater London,EC3R 5BA,-0.07926,51.50972,A Road,62.55
769,"174 Queen Victoria Street, London, EC4V 4EG, Greater London",London,Greater London,EC4V 4EG,-0.10376,51.51208,A Road,19.5
778,"248 Tottenham Court Road, London, W1T 7QZ, Greater London",London,Greater London,W1T 7QZ,-0.13154,51.51794,A Road,89.42
780,"38-40 Widmore Road, Bromley, BR1 1RY, Greater London",Bromley,Greater London,BR1 1RY,0.01857,51.40622,A Road,12.2
784,"Trinity Square, 37 Milton Street, Nottingham, NG1 4AF, East Midlands",Nottingham,East Midlands,NG1 4AF,-1.14854,52.95687,A Road,21.71
787,"78 High Street, London, SE20 7HB, Greater London",London,Greater London,SE20 7HB,-0.05478,51.41603,A Road,92.3
788,"139 Westminster Bridge Road, London, SE1 7HR, Greater London",London,Greater London,SE1 7HR,-0.11415,51.49954,A Road,94.23
791,"73-76 Strand, London, WC2R 0DE, Greater London",London,Greater London,WC2R 0DE,-0.12239,51.50996,A Road,126.05
792,"2-4 Southwark Street, London, SE1 1TQ, Greater London",London,Greater London,SE1 1TQ,-0.08958,51.5052,A Road,24.87
793,"Unit 21b, Kings Mall Shopping Centre, Lyric Square, London, W6 0QL, Greater London",London,Greater London,W6 0QL,-0.22594,51.49301,A Road,255.74
794,"145-155 King Street, London, W6 9JT, Greater London",London,Greater London,W6 9JT,-0.23158,51.49252,A Road,15.03
798,"244 Shepherds Bush Road, London, W6 7NN, Greater London",London,Greater London,W6 7NN,-0.22409,51.49389,A Road,301.27
799,"34 Kennington Road, London, SE1 7BL, Greater London",London,Greater London,SE1 7BL,-0.11209,51.49748,A Road,135.85
802,"171-173 Praed Street, London, W2 1RH, Greater London",London,Greater London,W2 1RH,-0.17536,51.51565,A Road,130.59
813,"1 Melville Place, Edinburgh, EH3 7PR, Scotland",Edinburgh,Scotland,EH3 7PR,-3.21078,55.95125,A Road,76.47
814,"26 Queensferry Street, Edinburgh, EH2 4QS, Scotland",Edinburgh,Scotland,EH2 4QS,-3.21003,55.95107,A Road,76.47
815,"23 Shandwick Place, Edinburgh, EH2 4RG, Scotland",Edinburgh,Scotland,EH2 4RG,-3.20862,55.95,A Road,36.33
816,"52 Shandwick Place, Edinburgh, EH2 4RT, Scotland",Edinburgh,Scotland,EH2 4RT,-3.21003,55.94937,A Road,153.24
832,"168-172 Sussex Gardens, London, W2 1TP, Greater London",London,Greater London,W2 1TP,-0.17381,51.51473,A Road,38.21
836,"1 Bruton Way, Gloucester, GL1 1DT, South West",Gloucester,South West,GL1 1DT,-2.2388,51.86174,A Road,90.62
838,"The Printworks, 2b Withy Grove, Manchester, M4 2BS, North West",Manchester,North West,M4 2BS,-2.24183,53.48524,A Road,76.42
850,"27-29 Upper Parliament Street, Nottingham, NG1 2AP, East Midlands",Nottingham,East Midlands,NG1 2AP,-1.14932,52.95503,A Road,102.82
851,"Burleigh House, 355-359 Strand, London, WC2R 0HS, Greater London",London,Greater London,WC2R 0HS,-0.11996,51.51116,A Road,106.01
852,"25 Cockspur Street, London, SW1Y 5BN, Greater London",London,Greater London,SW1Y 5BN,-0.12982,51.50748,A Road,120.97
853,"267 Tottenham Court Road, London, W1T 7RQ, Greater London",London,Greater London,W1T 7RQ,-0.13037,51.51674,A Road,79.56
855,"3-4 Northumberland Avenue, London, WC2N 5BY, Greater London",London,Greater London,WC2N 5BY,-0.12682,51.50717,A Road,93.96
857,"7 Whitehall, London, SW1A 2DD, Greater London",London,Greater London,SW1A 2DD,-0.12734,51.50703,A Road,35.07
869,"Grosvenor Shopping Centre, Pepper Street, Chester, CH1 1DF, North West",Chester,North West,CH1 1DF,-2.8897,53.18862,A Road,34.12
872,"78 High Street, London, SE20 7HB, Greater London",London,Greater London,SE20 7HB,-0.05478,51.41603,A Road,92.3
873,"West One Shopping Centre, 375-381 Oxford Street, London, W1C 2JS, Greater London",London,Greater London,W1C 2JS,-0.1492,51.51431,A Road,76.48
879,"451-453 Brixton Road, London, SW9 8HH, Greater London",London,Greater London,SW9 8HH,-0.11509,51.46205,A Road,115.85
880,"121-122 Upper Street, London, N1 1QP, Greater London",London,Greater London,N1 1QP,-0.10244,51.53868,A Road,203.66
889,"2a Church Street, Lutterworth, LE17 4AW, East Midlands",Lutterworth,East Midlands,LE17 4AW,-1.20001,52.45558,A Road,14.62
895,"54-60 Princes Street, Edinburgh, EH2 2DQ, Scotland",Edinburgh,Scotland,EH2 2DQ,-3.19477,55.95238,A Road,203.41
905,"53 Tooting High Street, London, SW17 0SP, Greater London",London,Greater London,SW17 0SP,-0.16744,51.42839,A Road,117.6
909,"43-45 Queen Street, Market Rasen, LN8 3EN, East Midlands",Market Rasen,East Midlands,LN8 3EN,-0.33471,53.38731,A Road,137.97
910,"2 Queen Street, Market Rasen, LN8 3EH, East Midlands",Market Rasen,East Midlands,LN8 3EH,-0.33725,53.3875,A Road,78.27
921,"313 Holburn Street, Aberdeen, AB10 7FP, Scotland",Aberdeen,Scotland,AB10 7FP,-2.11498,57.13538,A Road,136.68
928,"45 St. Machar Drive, Aberdeen, AB24 3SE, Scotland",Aberdeen,Scotland,AB24 3SE,-2.09721,57.16697,A Road,39.8
943,"80-81 Princes Street, Edinburgh, EH2 2ER, Scotland",Edinburgh,Scotland,EH2 2ER,-3.19707,55.95202,A Road,25.8
952,"111-113 High Road, London, N22 6BB, Greater London",London,Greater London,N22 6BB,-0.10707,51.59321,A Road,133.4
953,"203 Regent Street, London, W1B 4NB, Greater London",London,Greater London,W1B 4NB,-0.14076,51.51317,A Road,66.54
954,"260 Oxford Street, London, W1C 1DN, Greater London",London,Greater London,W1C 1DN,-0.14342,51.51515,A Road,113.2
955,"476 Oxford Street, London, W1C 1LD, Greater London",London,Greater London,W1C 1LD,-0.15473,51.51391,A Road,151.3
957,"98 Kensington High Street, London, W8 4SG, Greater London",London,Greater London,W8 4SG,-0.19247,51.50136,A Road,43.53
983,"435 Strand, London, WC2R 0QN, Greater London",London,Greater London,WC2R 0QN,-0.12442,51.50925,A Road,172.41
984,"15 High Street, Oxford, OX1 4DB, South East",Oxford,South East,OX1 4DB,-1.25627,51.7522,A Road,125.94
986,"52 George Street, Richmond Upon Thames, TW9 1HJ, Greater London",Richmond Upon Thames,Greater London,TW9 1HJ,-0.30456,51.46079,A Road,155.3
989,"134 Kilburn High Road, London, NW6 4JD, Greater London",London,Greater London,NW6 4JD,-0.1956,51.54,A Road,28.16
990,"12 King Street, Twickenham, TW1 3SN, Greater London",Twickenham,Greater London,TW1 3SN,-0.32843,51.44643,A Road,24.69
992,"67 Deansgate, Bolton, BL1 1HQ, North West",Bolton,North West,BL1 1HQ,-2.43024,53.5796,A Road,34.27
994,"99 High Street, Beckenham, BR3 1AG, Greater London",Beckenham,Greater London,BR3 1AG,-0.02736,51.40747,A Road,174.98
995,"172 Bishopsgate, London, EC2M 4NQ, Greater London",London,Greater London,EC2M 4NQ,-0.08028,51.51758,A Road,43.45
996,"3 Golders Green Road, London, NW11 8DY, Greater London",London,Greater London,NW11 8DY,-0.19555,51.57181,A Road,45.84
1001,"27-29 Euston Road, London, NW1 2SD, Greater London",London,Greater London,NW1 2SD,-0.12405,51.52981,A Road,32.73
1005,"1a Tottenham Court Road, London, W1T 1BA, Greater London",London,Greater London,W1T 1BA,-0.13057,51.5166,A Road,79.56
1007,"33-35 London Road, Twickenham, TW1 3SZ, Greater London",Twickenham,Greater London,TW1 3SZ,-0.32885,51.4477,A Road,163.15
1008,"1-3 The Broadway, London, SW19 1PS, Greater London",London,Greater London,SW19 1PS,-0.20584,51.42065,A Road,57.39
1012,"47 High Street, Beckenham, BR3 1AW, Greater London",Beckenham,Greater London,BR3 1AW,-0.02505,51.40842,A Road,127.91
1013,"102-104 High Street, Beckenham, BR3 1EB, Greater London",Beckenham,Greater London,BR3 1EB,-0.02549,51.4078,A Road,96.82
1014,"20 High Street, Beckenham, BR3 1AY, Greater London",Beckenham,Greater London,BR3 1AY,-0.02511,51.41009,A Road,75.51
1015,"272 High Street, Beckenham, BR3 1DZ, Greater London",Beckenham,Greater London,BR3 1DZ,-0.03079,51.40679,A Road,90
1016,"134 High Street, London, SE20 7EU, Greater London",London,Greater London,SE20 7EU,-0.05217,51.41443,A Road,174.23
1022,"1 Riverside Walk, Kingston Upon Thames, KT1 1QN, Greater London",Kingston Upon Thames,Greater London,KT1 1QN,-0.30768,51.41094,A Road,40.38
1030,"Unit 3-6, Grove Village Parade, Stockport Road, Manchester, M13 9AB, North West",Manchester,North West,M13 9AB,-2.21575,53.46583,A Road,356.22
1037,"56-59 Strand, London, WC2N 5LR, Greater London",London,Greater London,WC2N 5LR,-0.12337,51.50948,A Road,172.41
1039,"74 High Street, Northallerton, DL7 8EG, Yorkshire and the Humber",Northallerton,Yorkshire and the Humber,DL7 8EG,-1.43532,54.34169,A Road,92.12
1040,"2 Friarage Street, Northallerton, DL6 1DP, Yorkshire and the Humber",Northallerton,Yorkshire and the Humber,DL6 1DP,-1.43353,54.34112,A Road,35.52
1044,"10 Market Place, Bedale, DL8 1EQ, Yorkshire and the Humber",Bedale,Yorkshire and the Humber,DL8 1EQ,-1.59281,54.28915,A Road,160.89
1052,"17-19 Millgate, Thirsk, YO7 1AA, Yorkshire and the Humber",Thirsk,Yorkshire and the Humber,YO7 1AA,-1.34215,54.23366,A Road,16.16
